hour,nl,de
1,4314,4577
2,4970,4841
3,2665,2736
4,4252,3882
5,3406,4811
6,4214,3401
7,4681,3133
8,2944,3217
9,2201,2615
10,3529,2813
11,2628,4162
12,4419,2817
13,2379,4343
14,3880,4790
15,4461,2236
16,2456,4723
17,3396,3669
18,4459,4698
19,2042,2178
20,3637,2065
21,3123,4157
22,4955,2221
23,3679,3702
24,2284,2279
25,2428,2175
26,3380,2381
27,2023,2564
28,3423,2603
29,4305,3761
30,2588,2399
31,4026,3224
32,3065,4763
33,2428,4622
34,4763,3664
35,4947,4130
36,2239,4859
37,3164,3059
38,3080,4165
39,3457,3157
40,3779,3564
41,3893,4895
42,2618,2797
43,4597,2638
44,3236,2246
45,2407,3899
46,4833,3574
47,2958,4212
48,4077,3673
49,4530,4083
50,3136,2791
51,4142,3691
52,3687,4371
53,3357,2819
54,2844,3796
55,3966,3947
56,3533,3966
57,3225,2959
58,4531,4181
59,4136,3426
60,4987,4007
61,2118,4581
62,3162,4651
63,3052,3770
64,2547,4202
65,2925,3314
66,2998,2899
67,2787,4060
68,4089,4373
69,4079,2064
70,4244,2217
71,2868,2937
72,2972,4960
73,4863,3014
74,2464,3576
75,4208,2205
76,2269,4914
77,2297,2150
78,2165,4418
79,4347,3587
80,4828,4234
81,3302,2208
82,3488,2277
83,3514,3604
84,4660,3028
85,4333,4074
86,2480,2551
87,3192,4994
88,2557,2032
89,2010,4733
90,2328,3419
91,2543,4039
92,2129,4313
93,3491,3069
94,3595,2808
95,2677,3515
96,4416,4384
97,4594,3708
98,3465,2575
99,3504,3757
100,3672,3773
101,2709,2792
102,4372,4695
103,4644,3732
104,2571,3807
105,4837,3271
106,3852,3937
107,2840,3720
108,2133,3421
109,4017,3355
110,2187,2306
111,4961,2655
112,2318,3564
113,3676,2584
114,3474,4259
115,4979,4592
116,3008,4658
117,3954,4811
118,3170,4585
119,3565,4690
120,3965,4543
121,3498,3004
122,4109,3729
123,4095,3856
124,4990,4074
125,2704,4538
126,4773,2370
127,4405,3457
128,2297,3246
129,3238,2945
130,2909,2213
131,3970,2018
132,3947,3738
133,2281,4909
134,3614,3750
135,4518,2544
136,2117,3179
137,2465,2687
138,2358,4264
139,2251,4601
140,4483,4042
141,2545,4571
142,2211,2255
143,4802,2605
144,4221,2154
145,3686,4515
146,4780,2197
147,2228,4813
148,2640,4325
149,2950,4783
150,3794,4503
151,4606,3868
152,4449,2786
153,2903,3231
154,3701,2723
155,4438,4861
156,3607,2769
157,3473,3093
158,3842,3317
159,3905,4015
160,4711,4038
161,4751,3531
162,2874,4033
163,3657,2775
164,2031,3440
165,4489,2782
166,3175,3320
167,2149,4619
168,4955,3470
169,3533,2583
170,2400,4219
171,4438,2511
172,4079,2154
173,2612,4474
174,4239,3117
175,3300,2309
176,4298,3988
177,4019,3315
178,3529,2121
179,4939,3313
180,4970,3097
181,2322,4624
182,4544,2180
