,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
biomassPrice-1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
biomassPrice-2,4.5,4.5207852764,4.5955313453,4.6876801124,4.6955700188,4.7691778897,4.6762484995,4.7576798077,4.8830114527,4.8871909251,5.0563337851,5.1036096693,5.1197595935,5.0979969541,5.1115667391,5.0930888013,5.275002721,5.502380814,5.4753057278,5.4762471304,5.3630259152,5.5736499696,5.6299967056,5.5847652796,5.7278752198,5.7578293068,6.010714125,6.1430724213,6.1829100951,6.3324714048,6.447791997,6.6400411597,6.5559891354,6.5953650357,6.6383560067,6.5670079509,6.6565123565,6.6721357203,6.8999589625,6.8898968721,6.8979624966,7.0880604401,7.1735099166,7.4641414123,7.5074314134,7.4230705053,7.3353169069,7.3997537328,7.3853705341,7.4466354445
biomassPrice-3,4.5,4.5681858493,4.7547755016,4.7205088246,4.8348789174,4.8564328327,5.0466990713,5.1584060606,5.3337401201,5.4082628174,5.4015334126,5.321792573,5.3107769312,5.3554313451,5.3961551516,5.412098189,5.661063242,5.5382857001,5.5864923047,5.691457183,5.8386768542,5.7582145632,5.9536115298,6.0229891654,6.2726399999,6.1692021771,6.1830760835,6.0908130009,6.0381740185,6.1362234967,6.2268665894,6.3865144167,6.5268094297,6.665114646,6.826805085,7.122027992,7.326819264,7.4377848321,7.5578762432,7.7029509403,7.7702643457,7.8546643569,7.9420846498,7.8981109072,7.8600493214,7.9421122809,7.9500857665,8.1667191235,8.1497036167,8.1172032582
biomassPrice-4,4.5,4.3997313731,4.3706072758,4.3814462061,4.4834612007,4.5715609472,4.5491233559,4.6233709372,4.5793869382,4.7037648593,4.7361107617,4.7602981389,4.7946310317,4.9465726609,4.8936902892,4.9034422758,4.9449523593,4.890182379,4.8827968703,4.9786762037,5.0187238288,5.1283660464,5.1524438659,5.2220390485,5.2748902852,5.3263617277,5.3706229576,5.3728938282,5.4919033874,5.5104666216,5.5808926237,5.682945258,5.8325168648,5.7265980071,5.8460235513,5.8597874054,5.837632828,5.8165561977,5.7551336193,5.8718479275,6.0344553631,6.1573874295,6.1399667148,6.017191156,6.1315561074,6.2592844639,6.5597380313,6.7885216174,6.888436579,6.9252626578
biomassPrice-5,4.5,4.5231768702,4.6225173108,4.5435698967,4.6382500502,4.6665533809,4.660918747,4.64067233,4.7709700599,4.8633523712,4.9481055689,4.9883753962,5.0864389403,5.2052868085,5.2755332116,5.2232968039,5.2913090327,5.3325983385,5.4084235246,5.5553394707,5.6647649949,5.7331706911,5.8187293318,5.6943624562,5.643495149,5.7188491035,5.7519481775,5.6625716466,5.7767072545,5.8358764519,5.9408970517,5.8773405285,5.9605117205,6.0574018622,5.9390808953,6.0715385973,6.105281463,6.267930247,6.4037069974,6.3634502809,6.5108712552,6.7011157155,6.8538603042,7.0665166802,7.1053298092,7.1945374453,7.2697836713,7.3650638346,7.4381187169,7.2770894729
biomassPrice-6,4.5,4.5157421885,4.5261535122,4.5801502844,4.6053217743,4.6760747061,4.596931943,4.6538592975,4.7425151829,4.7824397208,4.6548579694,4.7519469156,4.7221766373,4.7667716121,4.9004852865,4.9000979123,5.0339033583,5.0235624506,5.0054835508,4.9135092042,4.8429529414,4.9621851703,5.1813200951,5.2424224463,5.3813741126,5.3906251947,5.4769778666,5.5359843186,5.5569600289,5.6295890881,5.7916383922,5.7951703308,6.0026493922,6.1954311347,6.2764009498,6.2668759365,6.2601668163,6.273407737,6.349931755,6.2908553414,6.1509961527,6.3131244794,6.5660561424,6.7693386525,6.8490831026,7.0026325815,7.1250118353,7.1546497854,7.1976786986,7.1929127334
biomassPrice-7,4.5,4.5303746888,4.5589817266,4.6278043468,4.7961711143,4.9241223203,4.9529854277,4.8477439924,5.0302643896,5.0533798517,5.106048077,5.2086619144,5.1684683962,5.1917589966,5.3202462369,5.3982938105,5.4675687849,5.6204794466,5.5374976073,5.7291263833,5.803377343,5.9376072179,5.9152061086,5.9648475035,5.9658153992,5.9730440499,6.0576586222,6.124022978,6.2929197943,6.2356571271,6.1915367299,6.2675261632,6.2176641886,6.4629790296,6.4173160365,6.422176406,6.3734265518,6.3305757505,6.5202342876,6.6892194452,6.7144309838,6.7152422318,6.6102959731,6.8097785934,6.8853655154,7.0938176093,7.3036107079,7.3425688252,7.358376213,7.4872001579
biomassPrice-8,4.5,4.6295152539,4.677442418,4.8159066223,4.9016719877,4.905069698,4.9511510682,4.9858204894,5.0023551787,4.8941772281,4.9198574122,4.8731858297,4.9048546134,5.0423775082,5.0626637241,5.2059764451,5.293325337,5.3573285715,5.3281380932,5.1794162425,5.1793243573,5.3471646207,5.3552097555,5.3663129088,5.4408107938,5.5429940471,5.6668681341,5.8397340797,5.9951733012,6.197965565,6.085566028,6.0726654288,6.2703143083,6.4897783892,6.4385020352,6.5339053816,6.5633819337,6.4671573903,6.418949135,6.4969796954,6.5996401854,6.7524235148,6.7168966405,6.8040712906,6.765771484,6.9071312252,6.9945518997,7.14887025,7.2891740761,7.2455516991
biomassPrice-9,4.5,4.4788762753,4.6233212312,4.814674692,4.8831885175,4.8345132985,4.9312855102,4.8741678516,4.9504793399,4.8691460258,4.9343318421,4.8343223819,4.7901008863,4.6984147895,4.8273482142,4.8372748543,4.8541075888,4.857532332,4.8765583651,4.9564298808,5.0070817091,5.0470689432,4.9700897221,5.0861577059,5.1196648473,5.2043136921,5.3168944437,5.3624613977,5.6031673486,5.6053489332,5.6792706265,5.8231563953,6.0332706095,5.9448485436,6.1256234884,6.2910454463,6.3832794759,6.399006995,6.3881740634,6.4829636124,6.6076393837,6.5361968015,6.5984212987,6.7500783478,6.7565101098,6.7005473857,6.6906129102,6.8420829735,6.8489608125,6.9235409955
biomassPrice-10,4.5,4.6335263194,4.5621980774,4.6244728346,4.5720214234,4.5252826226,4.5497733086,4.5461294752,4.4950751256,4.5316719916,4.5602696957,4.5302273508,4.4885413351,4.5335003579,4.540481278,4.5838180977,4.7668141236,4.7513212838,4.7534194522,4.8088281638,4.7551538328,4.812260998,4.9279992804,4.8408163885,4.8442204499,4.9438217086,5.1054128379,5.3521551529,5.3444930904,5.2927962362,5.339477277,5.3035434018,5.5144126974,5.6594662896,5.653958449,5.8906648158,5.7877853988,5.8412166371,5.9745938442,6.0474550231,6.2650482824,6.2917565746,6.4425817876,6.4678222474,6.4880140724,6.4786242731,6.5011626892,6.5503306396,6.7285427362,6.8160993803
