,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
coalPrice-1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
coalPrice-2,3.6,3.6863705285,3.7636088639,3.892271349,4.0234702895,4.048895089,3.9991434122,4.1078114648,4.1748829244,4.2623225811,4.2872138311,4.4148430676,4.5288366785,4.5855781237,4.6593394357,4.6903523901,4.7926835361,4.9966556096,5.187389826,5.0811495086,5.0773354611,4.9877674272,5.1017286322,5.092483949,5.1908327949,5.1862698677,5.3263322488,5.2793861472,5.2857765505,5.279782149,5.3701420207,5.3740622412,5.4279863518,5.3807104777,5.4194904367,5.3329356255,5.534936035,5.488047621,5.5137925871,5.7172127584,5.8034978174,5.913111824,6.0050752656,5.8829184933,5.9406192488,6.0217701805,6.0813808421,6.1815981202,6.0185978866,6.1763391323
coalPrice-3,3.6,3.6383392928,3.6956589345,3.7776737107,3.7927639271,3.7937088017,3.8828239811,3.8859792541,3.9002650096,3.872932149,3.8664316726,3.8381229995,3.8336531959,3.9042957918,3.9539555264,3.935095696,3.9559799122,3.9434053491,3.9082222543,3.9646031282,3.9755453496,4.0184120341,4.1032604072,4.1717738137,4.1275390829,4.0976797024,4.0259090091,4.001257762,3.9614549332,4.0431009669,4.0734082925,4.1726223943,4.1640978036,4.250333861,4.2943536741,4.3209386042,4.36238934,4.2452294127,4.384939165,4.5673539907,4.6015552306,4.6671087192,4.8221603161,4.7896963283,4.7561559887,4.9159382998,4.9344239598,5.0882694517,5.1452943344,5.1110961295
coalPrice-4,3.6,3.7569174066,3.7787587127,3.7969413777,3.9067793607,3.8117652923,3.8897745231,4.0029745393,4.1717864542,4.1572512435,4.09402699,4.1825918126,4.2898861671,4.3710283577,4.3790957352,4.4332181195,4.469087321,4.4700345111,4.4710606567,4.4378421743,4.5329744261,4.6099460217,4.6410893819,4.6090131834,4.6971057515,4.6001908797,4.6920782982,4.5926407804,4.7216550001,4.7247336807,4.8219313265,4.8419716422,4.9073595887,5.0182701878,5.1424515524,5.2877750947,5.4653162244,5.5320404418,5.6026930734,5.4442088666,5.5584490753,5.4308781511,5.5731260914,5.6014584393,5.46211717,5.5091536904,5.3996629861,5.4477135999,5.6076080883,5.6751704222
coalPrice-5,3.6,3.6272629404,3.7117984313,3.8658374355,3.8419090125,3.9292496412,3.9978501004,4.0643450228,4.2114339275,4.1540587867,4.1974782624,4.1445543365,4.1507167549,4.2614507842,4.2789688948,4.3005565775,4.3225488478,4.3235301826,4.3684062637,4.4330558432,4.4755153597,4.5325490272,4.6215232795,4.6670292267,4.7378277965,4.8053417927,4.8536649161,5.0335787594,4.9482062956,5.1107495871,5.1067593466,5.0966545721,5.2135893431,5.3677891294,5.3777610733,5.4781079766,5.5957844499,5.6986384206,5.8499769883,5.8528038514,6.017999704,6.0471956314,5.8690848323,5.8529588836,5.9438468213,6.058927099,6.0220147644,6.1201067543,6.1027908169,5.9516689621
coalPrice-6,3.6,3.5966479864,3.6008858993,3.7075564799,3.8232645723,3.7406029867,3.7430574739,3.6373056715,3.603746901,3.661675292,3.8006656722,3.8859199187,4.0040661858,4.123034441,4.2718443356,4.2101520879,4.3677931614,4.4661584765,4.5231437868,4.6092142582,4.730561257,4.7350094878,4.7985839088,4.7730815221,4.8141047234,4.9963093896,5.0405683887,5.1740752559,5.0605283119,5.122465467,5.0621302345,5.2621041412,5.4040405351,5.4498637648,5.3253561982,5.1998925754,5.2586313228,5.3163792244,5.316893415,5.3467305582,5.5888271456,5.7862923361,5.8356260174,5.8860678175,5.9876470389,6.0611062055,6.1425812165,6.0842047157,6.1950259966,6.0615364509
coalPrice-7,3.6,3.6517845919,3.5657046237,3.5688115533,3.5442499168,3.6503717308,3.7344931438,3.7698085548,3.8052175135,3.9199494077,3.8768404502,3.9432833235,4.0008124108,4.0483037837,4.0848473606,4.1220450922,4.1696446587,4.2047566131,4.279960279,4.3565830398,4.362461877,4.5627012869,4.6787595993,4.7383310913,4.9099274042,5.0919904105,5.0391449694,4.9760951095,4.8978523435,4.9019303141,4.9841068338,4.9816791985,4.9808189884,4.9861165177,5.1396420657,5.2115450208,5.1834336447,5.3229272011,5.311087416,5.322684285,5.3263177738,5.3289596529,5.3567167152,5.342056592,5.340562165,5.3052659787,5.313669603,5.2546816798,5.3017965876,5.3803506477
coalPrice-8,3.6,3.5696919911,3.7228670405,3.7865844619,3.9250582429,4.0320453266,4.0203415429,4.0813030253,4.1772164064,4.1325356377,4.1005190049,4.1770695288,4.2446589279,4.3877295024,4.4615006183,4.4646641985,4.5038444427,4.6321885731,4.5904174431,4.4981309589,4.5163312211,4.7129957661,4.8217682517,4.8438237324,4.8862347345,4.9430211975,4.9031643234,4.9786278865,4.9254187263,5.0804704174,5.2598082942,5.4223436946,5.3607254775,5.4967287096,5.7263958031,5.8327377685,5.7882746454,5.7913006791,5.7306095903,5.5836455631,5.7693080692,5.7864414172,5.6953514378,5.6163765824,5.5898449395,5.7368707712,5.8084975989,5.9487711068,6.0642811864,6.0195318356
coalPrice-9,3.6,3.5992938555,3.6113661833,3.6742506224,3.7286971861,3.7270576733,3.6947434029,3.7292442924,3.7067691284,3.708985982,3.7780638066,3.8744506295,3.9103301549,3.9757691658,3.8780137223,4.034248671,4.068054159,4.0614882601,4.0849868682,4.1742296445,4.2119122153,4.3132681325,4.4260108909,4.567939712,4.7148470859,4.8381007747,4.9279926167,4.9512517398,4.9547398188,5.0686509433,4.9993756274,5.1239604439,5.211784,5.2192878788,5.188803199,5.0753646534,5.0484022887,5.0645811472,5.0616822368,5.1750958711,5.2347664248,5.4212114742,5.5091277157,5.5906572049,5.6456787377,5.7655118812,5.7610248762,5.8365507849,5.8209650779,5.9055688075
coalPrice-10,3.6,3.6321523765,3.6550893986,3.5690320713,3.6248428589,3.613417756,3.5752403802,3.5676999221,3.6469984354,3.6484803884,3.5966675362,3.6366840844,3.6039649489,3.5402441583,3.5334698529,3.6429618871,3.6444469241,3.7689258239,3.8292193753,3.9284124373,3.8385280693,3.7313685668,3.79214179,3.782423588,3.8290880118,3.7990089606,3.7062702729,3.7161379558,3.8117737997,3.8984184664,4.023645828,4.0105331727,4.1598851687,4.1319910611,4.084820359,4.1116582744,4.0617812613,4.060431327,4.0876208233,4.2148353384,4.2754372481,4.4392167824,4.4471207712,4.5203695058,4.6215849246,4.8122108254,4.7163923655,4.8542230878,4.9186144748,4.9829819083
coalPrice-11,3.6,3.6814425422,3.7760095326,3.7628775922,3.787135884,3.7817353849,3.7914304954,3.8142893615,3.8606030661,3.9480239247,4.0859728245,4.1177723606,4.1573228755,4.0832332467,4.1429151189,4.1536301992,4.1793936985,4.3235073653,4.2498364866,4.2385774062,4.4133527784,4.4639646152,4.5710929828,4.6304947866,4.6242499786,4.6960107458,4.7104376543,4.7107201058,4.6865290427,4.5860882122,4.709633308,4.8456374756,4.8814558278,5.050100951,5.0510160735,5.0825277225,5.1822903271,5.2016883726,5.275794219,5.1893451314,5.2591139787,5.4405575465,5.4365768718,5.6161520255,5.6379971381,5.8742503171,5.9554751115,6.0374466713,6.1296386647,6.1715695473
coalPrice-12,3.6,3.7381164736,3.7121030268,3.77854827,3.9113474473,4.0383015727,4.0080882954,4.055012149,4.2006636827,4.1971122936,4.1893651086,4.3696918466,4.4180593042,4.5935713652,4.6947431708,4.6668813466,4.5525412651,4.5650754036,4.615373633,4.7330829797,4.8570476018,4.9442082256,4.8561504093,4.993580444,4.9022589798,4.9865121384,5.064757328,5.1192105771,5.316651346,5.3351489494,5.4444190662,5.4473480338,5.4460565047,5.5490838771,5.4852010378,5.5333852229,5.6308851003,5.8217276638,6.0136080542,6.1153547551,6.2732918533,6.3278041533,6.5216051719,6.5180833772,6.6104250341,6.5679542203,6.5236640035,6.6978417891,6.8114266165,6.9046983096
coalPrice-13,3.6,3.5550945721,3.5738936559,3.6483079043,3.6356837447,3.5966459315,3.5749698834,3.5090206649,3.5149327946,3.435835211,3.4513258032,3.3802273078,3.5120463889,3.6339669219,3.6701472699,3.6394471339,3.6486653733,3.7156854302,3.6860549206,3.6740025892,3.7627786131,3.8427338607,3.88872663,3.9266747515,3.9948943244,4.1777369266,4.1733225099,4.2153834427,4.3520737807,4.4442643806,4.4425622541,4.5326759183,4.5815229213,4.5126850809,4.4146920646,4.5803311006,4.6852879869,4.9065331478,4.9568401787,4.9030350702,4.95158697,4.8809030512,4.8442454064,4.8048575659,4.9231294802,4.8845248456,4.822443129,4.8122122344,4.9072837478,4.8294956855
coalPrice-14,3.6,3.7024002693,3.7633367613,3.8842050039,3.9643366179,4.0455028294,4.164409804,4.1258799473,4.0094836177,4.0338563272,4.0971098529,3.99231945,3.9311368545,3.8388246167,3.8527394858,3.8197810734,3.8659710751,3.917531279,3.8719872651,3.8250777584,3.9275227921,3.9922164174,4.1298023234,4.1270657519,4.266992378,4.2871028729,4.328689322,4.4023218716,4.410340302,4.547324695,4.6683795814,4.7923970144,4.8713418786,4.8795689851,4.9223792717,4.9049902187,4.8096513547,4.9222529381,4.9743449894,5.149731339,5.1712428316,5.1468281451,5.2304929668,5.2714668968,5.2604070467,5.3079761245,5.5140025426,5.698341322,5.7131336934,5.8542171615
coalPrice-15,3.6,3.5702877195,3.5096654645,3.6267234553,3.6737499955,3.7747665355,3.8071188252,3.9158231936,3.9799126683,4.122035124,4.0551456359,4.0807267184,4.1841297733,4.224057899,4.2683729571,4.3788207226,4.4770923393,4.5410457241,4.5198126908,4.5762977455,4.544214913,4.6164975222,4.5488907864,4.6268604744,4.6544324475,4.6149957075,4.5889226656,4.5252516057,4.5729395246,4.6340424471,4.627380345,4.7014863772,4.654790537,4.7889533683,4.784343437,4.7335018831,4.8382182084,4.8916775674,4.8597325664,4.9675317299,4.9303881159,4.9683546605,5.0376084814,4.9849510232,4.9308742954,5.0473005614,5.1530899715,5.1904045143,5.1265538266,5.0616408425
coalPrice-16,3.6,3.7406093594,3.7117679635,3.7579438935,3.7342774094,3.6879997122,3.6797017531,3.6923650165,3.7286587896,3.6947229749,3.7313827705,3.7407550818,3.8382761133,3.9052104022,3.9513424466,4.0371880926,4.1121790844,4.1268587077,4.2425573378,4.3138908486,4.2975970548,4.3023529001,4.3765316654,4.501701466,4.5232283907,4.4166550208,4.5077783098,4.5806366421,4.6540028051,4.5919558786,4.5882894233,4.647668771,4.6418537259,4.6369211415,4.7847423918,4.9379180719,4.8737333917,5.0077176128,4.8623469472,4.8206643568,4.8333516913,4.9670321285,4.8758848546,4.7701626085,4.8005021051,4.849781372,4.8466065653,4.8040219945,4.8257771495,4.7393207607
coalPrice-17,3.6,3.6086435637,3.5571378164,3.6421972963,3.5592666209,3.5808757679,3.5341919216,3.4761583085,3.5341145713,3.666752894,3.6537515946,3.5977439448,3.680892394,3.7270966458,3.7061237775,3.7490738233,3.7955511591,3.8306599793,3.8333656744,3.806342737,3.7950297428,3.8050153637,3.9322525445,3.9135292585,3.8854268731,3.9743672519,3.9684848702,3.9857414871,4.0570159108,4.0799212665,4.0949169035,4.0733265216,4.1370239884,4.1977568347,4.1903791208,4.2249349794,4.2680965689,4.3371596326,4.435181332,4.4716294549,4.4110466628,4.414377687,4.4130087794,4.3962069338,4.5174591426,4.7069090106,4.7427690386,4.8292782269,4.8255767653,4.7659734906
coalPrice-18,3.6,3.6958803288,3.8330293217,3.9316356567,3.9552506347,3.9784160271,3.9608560461,4.0462529171,4.1763842133,4.1600913394,4.0748293659,4.024959316,4.1301907882,4.1271391705,4.1401027397,4.3128600619,4.4785421997,4.4736595,4.5743717424,4.6526470993,4.7212999611,4.6760051069,4.6698091485,4.7069544243,4.702670631,4.6681336042,4.651759928,4.7497056244,4.9168131099,5.0770458344,5.062750186,5.2003904004,5.2730531554,5.2430381786,5.3148435097,5.369915827,5.584109384,5.7424105615,5.8980124308,5.9266044701,6.1286972484,6.1492510921,6.1943110455,6.358383295,6.372882793,6.536225451,6.5873544266,6.7672140235,6.8222006621,6.7117032987
coalPrice-19,3.6,3.5992557538,3.6705590226,3.6481977961,3.6352434176,3.5996254987,3.6265296065,3.64966295,3.634074759,3.7164886509,3.6910607523,3.8265472586,3.8177633526,3.861159147,3.952962273,3.8715589856,3.9349851817,3.9504325122,4.0161970336,4.0461862324,4.089821431,4.1428349653,4.1612312841,4.1572426507,4.216844877,4.2771458872,4.2853738756,4.2633272039,4.2697752067,4.3281475489,4.327268503,4.3720539667,4.4363238985,4.5415701146,4.5274955331,4.705463837,4.8267967584,4.7327109701,4.733686263,4.7553570067,4.8054537558,4.9251473137,4.8535201135,5.0349906046,5.0695950633,5.2529065661,5.3600871971,5.5119314751,5.6531331484,5.7925661228
coalPrice-20,3.6,3.6310918167,3.6081049229,3.6739013095,3.7004136972,3.7434518328,3.8622521811,3.8919402677,3.9790940239,3.930383994,3.9438584447,4.0513618191,4.0416150571,4.2287291435,4.1492550561,4.2103099416,4.3663620326,4.4617173723,4.6161372833,4.5480565721,4.4868681105,4.6520441276,4.7634959004,4.7635960897,4.7484408906,4.834380573,4.9561316974,5.098581524,5.2347624566,5.3660109519,5.3667561776,5.3429234273,5.3869346507,5.5017661243,5.6511311374,5.6228972488,5.6779877069,5.6171157522,5.5662072148,5.5685919786,5.4911461902,5.591493195,5.6392110296,5.752690723,5.9802482837,5.9179715743,5.8210325556,5.9973206873,6.130094185,6.1646935278
coalPrice-21,3.6,3.6405856468,3.6529918744,3.7830726183,3.8298572166,3.8607071912,3.7881016929,3.6964389635,3.8730568994,3.9298793941,3.8327843938,3.8257950478,3.9713582552,4.0067805308,3.9248171038,3.9909303309,3.9464222523,4.0280440452,3.9847964233,4.0425288646,4.1079548858,4.1422861959,4.2274780355,4.35900303,4.5132968114,4.458207635,4.554036718,4.5184554613,4.60317204,4.675483079,4.7425627949,4.9574313321,5.1047277217,5.2020401715,5.1664557402,5.2182829722,5.3748058653,5.53479655,5.6131957645,5.8724862381,5.8984382549,5.852422544,5.9951691003,5.985747838,6.2024025719,6.3199454677,6.2669200505,6.3883980444,6.3829199933,6.5783394631
