,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
gasPrice-1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
gasPrice-2,9.02,9.0984307815,9.3149110056,9.3403921983,9.619328015,9.8700129755,10.0296713813,10.0199614525,10.0684813657,10.1585316319,10.1956370555,10.063839824,10.3008389675,10.4312505084,10.2355869758,10.0879226762,10.2213361054,10.0688243999,10.0681746972,9.8993151808,10.2482146829,10.6369201558,10.5080078572,10.3714247689,10.8561319053,10.9532051962,11.1564136254,11.3429785851,11.5966677347,11.6026126661,11.6887640302,11.4177939233,11.3913120384,11.2490573402,11.3119727296,11.1854287986,11.4087606841,11.5937496004,12.0125411327,11.8698549427,11.8896707317,11.8375675082,11.9714997798,11.9728623226,12.2600560775,12.3941916231,12.5604707736,12.7629070797,12.7955195093,12.9029977431
gasPrice-3,9.02,9.2560415541,9.4070772662,9.6086839752,9.8914590095,9.7920829256,9.8634665716,10.2751851598,10.3274294609,10.4071063843,10.4143047835,10.6244799667,10.9869368736,11.1472190808,11.0396614322,11.06447947,10.8657468155,10.7367613547,10.8914548323,11.163195669,11.1950874839,11.0901849139,11.4257000581,11.4627623761,11.2416354805,11.6519031486,11.3565653063,11.3479956088,11.7457313092,11.8707708844,12.4525975286,12.7321706787,12.8368058412,13.0870401328,13.2118762313,13.1535940782,13.5621654985,13.2634029996,13.46169711,13.4968925436,13.6187535174,13.8843802843,14.5011596231,14.6918925796,14.6703600376,14.8079526936,15.1279055142,15.5323558746,15.4279727905,15.5863195116
gasPrice-4,9.02,9.2327593112,9.3767823192,9.4863345267,9.5339798624,9.351010961,9.3341288825,9.640234872,9.6164204886,9.6386232993,9.7315327505,10.1547569736,10.1658739242,10.2700675367,10.4319993676,10.3917230437,10.4769020439,10.72421992,10.9490999748,11.3201604577,11.4587893072,11.5308744246,11.7904191081,12.0884390082,12.3028721981,12.7469546928,12.9610065408,13.24578407,13.3570363065,13.8348971679,13.5987659164,13.6115591248,13.6941319417,13.9641825431,13.9768397385,14.3923135768,14.6819177983,14.6956599177,14.9191429915,15.0922207129,15.0955418086,15.1812466698,15.2940260624,15.1957569102,14.9728181823,14.9817656414,15.1613122383,15.3968129141,15.8492353238,16.2984015977
gasPrice-5,9.02,8.9255256131,8.8824195629,9.1577325561,9.3415019302,9.2597000782,9.5102805237,9.6996662193,9.7270852571,9.8900922799,9.8552699699,9.9446228698,9.9800095615,9.9812956491,9.9405242284,9.8230582789,9.7387812824,9.8681759471,9.7287903157,9.8625654722,9.9778521561,10.1272581874,10.4918956307,10.748052651,10.7587999424,10.8534497181,10.7448203819,10.6545372983,10.589651089,10.5747671482,10.7565909259,10.8760690088,10.9450151969,10.8997065127,11.0758344377,11.3570305841,11.5558924961,11.8674303415,11.607155313,11.8211408283,12.02156656,12.1971158512,12.4358233183,12.6126487812,12.4386587811,12.1525481234,12.2017492437,12.4283806567,12.3643407831,12.7385264953
gasPrice-6,9.02,9.1183515698,9.2532135409,9.4034144056,9.4608743005,9.6502563916,9.5423870072,9.8257852421,9.7767150896,9.8515229501,10.0397988056,10.1589025709,10.2369910179,10.0643107623,9.9260137603,10.0167273885,9.8519297102,10.0270368314,10.2183952361,10.2068609472,10.0854160881,10.2336259657,10.5751667966,10.3361591642,10.4662292288,10.4603638143,10.9380298655,11.2000730908,11.6536574943,11.6884510297,11.9718886747,12.0195335029,12.1612785469,11.9903639782,12.2473932609,12.2797287974,12.494769987,12.6850085712,12.9463274715,13.3864305412,13.2871208668,13.8189630535,13.6640746457,13.9782235244,13.939270573,14.2664914098,14.4660714569,14.4782321533,14.8286270428,14.902744814
gasPrice-7,9.02,9.2432125233,9.1617425852,9.3761771902,9.4367793963,9.4859660437,9.3904926248,9.3982849111,9.3346765356,9.2600772114,9.5110874392,9.7624848751,9.8318482065,9.9524687323,9.7775921781,10.2146904305,10.1732967185,10.2189457599,10.5399252961,10.730816003,10.9895305639,11.069891962,10.8808924709,10.8072535698,11.0904863776,11.0739178326,11.3608859963,11.5555823197,11.6297130082,11.7045544288,11.7512641822,11.6673289906,11.6493042655,11.4256416009,11.5381575003,11.5925498724,11.495069323,11.6377898914,11.7214430157,11.9515910907,12.1493223381,12.6470098736,12.6675471867,13.0950434846,12.8615284805,13.0271800729,13.0754054447,13.021184183,13.296800624,13.4207617814
gasPrice-8,9.02,8.9793566696,8.7981744439,8.9094233399,9.2179887094,9.5110102858,9.485778602,9.5299868165,9.7603883223,9.7134863849,9.577681631,9.6645558824,9.7123872761,9.8696338502,9.8884763955,10.1269115352,10.0969416178,10.0363722857,10.5124867277,10.3485382806,10.1391385167,10.2985437845,10.3450932894,10.4751076815,10.6846344305,10.9621244402,10.7883856146,10.9997841754,10.8908845605,11.0057295016,11.3919541137,11.7382097142,12.1911933703,12.0488107862,12.5397926785,12.7817350651,12.7306178556,13.1418808716,13.1252796587,12.9300509122,13.0753538384,13.4322654261,13.1988013913,12.895192319,13.0794167259,13.1737935187,13.7513151277,13.8962896028,14.037231166,14.0241472942
gasPrice-9,9.02,9.014003359,9.1704321001,9.3925810836,9.6843905729,10.0524603405,10.4463088481,10.48164492,10.5404957043,10.3685222049,10.3925579738,10.3577993765,10.4703729271,10.4976843118,10.3874403739,10.371775196,10.7869857347,10.8893201744,11.1169923672,11.3472021617,11.6085014977,11.4949782736,11.4691395574,11.9039554257,11.7688566318,12.0562121402,12.22787751,12.6050345283,12.5905283655,12.6398024616,12.3882724311,12.2011807328,12.5481396249,12.8128470217,13.0094253879,12.8645603858,12.7163209816,12.8808422061,13.1436935717,13.1896737488,13.0901030062,13.0702286105,12.8108579496,12.6312091865,12.6006384223,12.7127912639,12.9338760108,13.4672367167,13.7024468976,13.996523057
gasPrice-10,9.02,9.0409501351,9.1404002401,9.431061475,9.5938844819,9.6580255397,9.5870900691,9.9320077146,9.8767900843,9.9205818637,10.2019719884,10.169290869,10.341684666,10.7376725137,10.8132049879,10.9238591777,10.7504129428,10.6755271244,10.6788333743,10.9106956867,11.1560551868,11.3519303155,11.2680825602,11.3041954497,11.2956623569,11.4878936673,11.6406693899,11.8492317648,11.7277569971,11.9226205549,12.1529538451,12.3230139437,12.2342989691,12.0644399789,12.614322137,13.0110406858,13.2379870109,13.4541591091,13.7496734101,13.9179491207,14.3970382927,14.5193625695,14.8035484174,14.7759497911,15.0390546175,15.5506930854,15.5726133076,15.9594870526,16.290305369,16.0968820161
