,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
lignitePrice-1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
lignitePrice-2,1.428,1.4403409527,1.4351648864,1.4355902437,1.4267188598,1.4202216465,1.421736131,1.4282992971,1.4295313915,1.42713198,1.4251740985,1.4157953847,1.4174173762,1.4184610746,1.426926744,1.4245142797,1.4230846807,1.4236047633,1.4191831608,1.4269910849,1.4315497656,1.4227067117,1.4232691057,1.4295664747,1.4273286737,1.4336389863,1.4338094506,1.4337210972,1.4399821661,1.4409873187,1.4373241674,1.4364815596,1.4365677459,1.434844287,1.4364493969,1.4358383002,1.4268759186,1.4296172829,1.4318722337,1.4315855761,1.437123061,1.4353673837,1.4289880499,1.4341811083,1.4230880755,1.4260765367,1.4307859967,1.4347388197,1.428568541,1.4332662671
lignitePrice-3,1.428,1.4290613766,1.417368749,1.4195413457,1.4122832811,1.4075863968,1.411677567,1.4131834568,1.407020701,1.3962097261,1.3923295353,1.3901260889,1.3854738258,1.3900443788,1.3969126157,1.3975498478,1.3968035107,1.3975781501,1.3968379387,1.4029329541,1.3977226529,1.3992087216,1.4038865806,1.4018042925,1.4035256703,1.4052369869,1.4009941996,1.4009446361,1.4110356219,1.4054628511,1.4073897253,1.4121292379,1.4084391534,1.4058412783,1.4027049814,1.3958073712,1.3861512446,1.3857162923,1.3885750758,1.3784396472,1.3844498108,1.382151924,1.3879742273,1.3848387741,1.3868496199,1.3907344926,1.3914303481,1.3920050447,1.3999828357,1.4076667665
lignitePrice-4,1.428,1.4272164811,1.4324527068,1.4378185841,1.4307409505,1.4367016735,1.4381103584,1.4484108532,1.4502127278,1.4465418426,1.4433946719,1.4416456828,1.4415866741,1.4370406848,1.4330258054,1.4306108873,1.420005701,1.4237734643,1.4275876929,1.4308567819,1.4351298151,1.4265577749,1.4165748433,1.411207479,1.4038015084,1.4067785949,1.4037324714,1.4081747632,1.4078472071,1.4047084801,1.3996629631,1.4085437435,1.3960219767,1.3911033565,1.3795825301,1.3805497815,1.3766388275,1.3807440906,1.3783073104,1.3714338887,1.3739507379,1.3718054459,1.3776266522,1.3843799893,1.3837653708,1.3886521034,1.378710201,1.3837097897,1.3925582118,1.3880238418
lignitePrice-5,1.428,1.4370422741,1.4318399589,1.4369812936,1.4299506178,1.4297136686,1.4368556518,1.4457589486,1.4559321091,1.4443834726,1.4388431578,1.4297519863,1.4358134761,1.4396645793,1.4416892585,1.4418770425,1.4438513224,1.441033734,1.44520596,1.4543446035,1.459665378,1.466039326,1.4684556464,1.4656747823,1.4647334,1.4699899639,1.4579236868,1.4563375827,1.4553006157,1.4542553273,1.457341534,1.4581490661,1.4525436769,1.4522474451,1.4577843173,1.4516461408,1.4382901352,1.4429759306,1.4351598383,1.4301122444,1.4329186352,1.4334897922,1.4272922856,1.4208813183,1.4143105697,1.4050915019,1.4062465874,1.4112397855,1.4174513195,1.4159741456
lignitePrice-6,1.428,1.4248154577,1.4135008098,1.4058286368,1.4061606235,1.4109028821,1.4042383823,1.4080429633,1.4144562003,1.4144005857,1.4153865674,1.4122924792,1.4097151504,1.4167798683,1.4115009748,1.4123101914,1.4121527444,1.4167669356,1.4168264448,1.4242870371,1.4291301542,1.4274287983,1.4259326984,1.4283693557,1.4346043099,1.4376962429,1.4433148228,1.4479995923,1.4506640356,1.4589007088,1.4509393506,1.453757565,1.4614229504,1.456152945,1.457588342,1.459763189,1.4711085527,1.4663659992,1.4716262041,1.4625661366,1.4637692944,1.4666475507,1.4660197769,1.4608188633,1.4526720451,1.4420774192,1.4429306919,1.4482658006,1.4394109266,1.442537748
lignitePrice-7,1.428,1.4384741456,1.4397303551,1.4428122164,1.4371116493,1.4465171491,1.4420259219,1.428450252,1.4169565277,1.4171304506,1.4103080289,1.4096949612,1.403176132,1.399295674,1.3913056768,1.3923884636,1.385751753,1.3900413671,1.3859981284,1.3893902775,1.3883964499,1.3860034869,1.3946773024,1.3897604885,1.3917866144,1.3910026528,1.3902021292,1.3892546387,1.3815302568,1.3819112755,1.3842268353,1.3830495992,1.3720416903,1.3803104669,1.378652367,1.3806880509,1.3694241988,1.3723795816,1.3622805652,1.3558350935,1.3576247234,1.3644732571,1.3579157896,1.3563135132,1.3578790302,1.3484662335,1.3538935874,1.3545071907,1.3606468355,1.3530580443
lignitePrice-8,1.428,1.4161129026,1.4065814357,1.4132933364,1.4182843235,1.4199985881,1.4134027178,1.4092512386,1.4147378711,1.4121161029,1.4037335212,1.404035243,1.4058617247,1.4084059758,1.3987456685,1.4036685935,1.4084437986,1.4165228351,1.4217282513,1.4316009343,1.4200562569,1.4141703694,1.4115669347,1.4147284565,1.4035106791,1.4055418676,1.4057934777,1.4001026709,1.4075758224,1.4114743575,1.4009857873,1.3974719783,1.3884502904,1.3842144674,1.3829657411,1.3842780649,1.3858188325,1.3870554466,1.3876527925,1.3926828893,1.3825937917,1.3832999897,1.376182426,1.3870210293,1.3795049061,1.374821267,1.3828000317,1.3932422016,1.4006948937,1.4041322206
lignitePrice-9,1.428,1.4350233729,1.4329748347,1.4407764999,1.4426467762,1.440261696,1.4384851736,1.434423062,1.4288040934,1.4214430225,1.4282323676,1.4391435585,1.4408897636,1.4415978968,1.4363169891,1.4323101247,1.4373206724,1.4360851572,1.4378741978,1.443407675,1.4425184539,1.4463005895,1.4573204145,1.4628015619,1.4660088819,1.4746465161,1.4789334313,1.4804856965,1.4711368009,1.4686995546,1.4692176868,1.4765754519,1.4807359503,1.47197102,1.4771223598,1.4884947046,1.4889589612,1.4772644491,1.4686965013,1.4700357573,1.4738514934,1.4735574035,1.4685857843,1.471980509,1.4841440731,1.488289398,1.4949664108,1.4981944899,1.5033110674,1.5009569128
lignitePrice-10,1.428,1.4217510789,1.4225071399,1.422573574,1.4315505291,1.4440549729,1.4391469447,1.4414199186,1.4416816524,1.4464778522,1.4552417018,1.4502208853,1.4457902063,1.4470541308,1.4403359865,1.444568193,1.4449623776,1.4404526559,1.431659721,1.4247104132,1.4242449854,1.4157852711,1.4076514199,1.4154691388,1.4139888915,1.4036763074,1.3993538934,1.4090344606,1.413406127,1.4120489772,1.4032236913,1.400405718,1.399080897,1.3984286959,1.4009675949,1.3914162805,1.383192613,1.3740623855,1.3765551169,1.3750590499,1.3776446772,1.3734182672,1.3674015636,1.3757619701,1.3772929202,1.366939932,1.356396271,1.3528902085,1.3581259483,1.3640253589
