hour,nl,de,uk
1,22711.5,32523,29905
2,22479,32134,30311
3,21678.5,31342.5,30829.5
4,20788.5,30639,32332
5,20119.5,30281.5,31215.5
6,19573,29938.5,29213
7,18707.5,29887,27540
8,18422,29888.5,25221.5
9,18539.5,29554.5,23316.5
10,19449.5,28499.5,22400
11,20492,27675.5,21935.5
12,21778,27343,21943.5
13,22584,25513.5,22332
14,22503,23754,22277.5
15,22256.5,22618,23072
16,22344.5,22026,24336
17,23534.5,22074,26066
18,25220,22013.5,27630.5
19,25710,21677,28457.5
20,25175.5,22052.5,28953.5
21,24300,23822.5,28544
22,23755.5,25603,27492.5
23,24234.5,26572,26551.5
24,23175.5,27051,25960
25,21865.5,27264.5,25822.5
26,20823.5,26611,26358
27,20275,25899,27231
28,19972,24966,28370.5
29,19981,24878.5,26947
30,19802,24258.5,25478.5
31,19511.5,24395,24607.5
32,20747,24914.5,22571
33,22436.5,24737,20989.5
34,24104.5,23516,20065.5
35,25039,23340,19456.5
36,25828,23363.5,19784
37,26128.5,21978,20298.5
38,25720,20841,20502.5
39,25401,20217.5,20669
40,25479.5,20053,21003
41,26296,19740.5,21861.5
42,28621.5,19609,22705.5
43,28811.5,19202.5,23417
44,28197.5,19316.5,24360
45,26604.5,20199.5,24166
46,25875.5,21455,23181
47,26168.5,22333.5,22554.5
48,25065.5,23169.5,22166
49,23631.5,24037,22326.5
50,22616,23683.5,23217.5
51,21828.5,22919.5,24826
52,21062.5,22181.5,26966.5
53,20813,21754.5,26473.5
54,20365,21660.5,25237
55,19664.5,22433.5,24284.5
56,20068.5,23264,22348
57,20786.5,23482.5,20996.5
58,21961,23299,20986.5
59,23151,23321,20869
60,24445.5,23802.5,21142.5
61,24846,22323,21593.5
62,24211,21203,23246
63,23760.5,21144,27853
64,23691,20859.5,30718.5
65,24946.5,20975,32045
66,27064.5,21412.5,32176
67,27611.5,22296,32551
68,27034.5,25918.5,33073
69,25983,29504,32671
70,25546,30910.5,32370.5
71,26078.5,31081.5,31968.5
72,24897.5,31717.5,31621
73,23602,32731.5,30801
74,22470.5,32654,30882.5
75,21876.5,32385.5,31696
76,21602.5,31662.5,33476
77,21785.5,31399.5,32125
78,22285,30694.5,30087
79,24096.5,30404,27863
80,26778,30364,25482.5
81,28428.5,29900,23916.5
82,29459.5,28836,23477
83,30162,28019.5,23010
84,30747.5,27170,23157.5
85,30966,25134,23565
86,30635,23477,24756.5
87,30332.5,22391.5,28875
88,30130.5,22188,31949
89,30674.5,22655,32701
90,32592,23064.5,32766
91,32475,23773.5,33420
92,31953.5,26883,33952
93,30474,29671.5,33531.5
94,29602.5,31039,33356.5
95,29173.5,31451.5,32811.5
96,27775.5,31991.5,32324
97,26648.5,32671.5,31641
98,25581.5,32330,31664.5
99,24860.5,31793,32093
100,24461,30962.5,33584.5
101,24601.5,30384,31954
102,25320,29789,29827
103,27392.5,29892,27866
104,30496,29891,25289.5
105,31985,29496.5,23923
106,32391.5,28546.5,23468.5
107,32705.5,27624,22716.5
108,33135.5,27157,22968
109,33244,25110.5,23421
110,33066,23701.5,24823.5
111,32624,23019.5,29074.5
112,32347,22773,32091.5
113,32681.5,22790,32736.5
114,34141.5,23225.5,32569
115,34488,23880,32895.5
116,33932.5,26916,33405
117,32393.5,29723.5,32945
118,30971,30840.5,32763.5
119,30418.5,30846.5,32211.5
120,28451.5,31322,31833
121,26997.5,32056.5,31081
122,25907.5,31653,31226
123,25160.5,31170.5,32004.5
124,24727,30577,33589
125,24779.5,29987,31901.5
126,25266.5,29572,29737.5
127,27033,29627.5,27638.5
128,29734,29675.5,25288.5
129,30972.5,28944.5,23875
130,31416.5,26783,23480.5
131,31942,25816.5,23031.5
132,32469,25747,23101
133,32497,24694.5,23569.5
134,32064,23240,24948
135,31562.5,22750.5,28993
136,31358,22402,32205.5
137,31695,22432.5,32963.5
138,33262,22807.5,32996.5
139,33824,23353.5,33410.5
140,33219.5,26789.5,33992
141,31654,29656.5,33557
142,30611,30805.5,32927
143,30286.5,31092,32364.5
144,28555.5,31722.5,32026
