hour,nl_node_PV,nl_node_OffW,nl_node_OnW,de_node_PV,de_node_OffW,de_node_OnW
1,0.000000861,0.72939,0.4587493,0.00000113,0.3795829,0.2063512
2,0,0.72939,0.4587493,0,0.3795829,0.2063512
3,0,0.68536,0.4117226,0,0.3554109,0.1908276
4,0,0.63976,0.3649035,0,0.3315703,0.1757863
5,0,0.63976,0.3649035,0,0.3315703,0.1757863
6,0.0014102,0.60594,0.3456853,0.0021729,0.2927578,0.1767774
7,0.0028204,0.57165,0.326643,0.0043459,0.25528,0.1777708
8,0.0042305,0.57165,0.326643,0.0065188,0.25528,0.1777708
9,0.0243235,0.48689,0.2797394,0.0190719,0.2507195,0.1683188
10,0.0444164,0.40248,0.2348694,0.031625,0.2461842,0.1590885
11,0.0645094,0.40248,0.2348694,0.0441781,0.2461842,0.1590885
12,0.0681115,0.30342,0.1976749,0.0440469,0.2456626,0.1520057
13,0.0717137,0.21215,0.1629983,0.0439158,0.2451413,0.1450699
14,0.0753158,0.21215,0.1629983,0.0437846,0.2451413,0.1450699
15,0.0576842,0.19594,0.1339231,0.0331152,0.2286122,0.128726
16,0.0400526,0.18019,0.1076533,0.0224457,0.2124622,0.1133592
17,0.0224209,0.18019,0.1076533,0.0117763,0.2124622,0.1133592
18,0.0149977,0.12297,0.0869102,0.0078667,0.1942372,0.1060634
19,0.0075745,0.07505,0.0688941,0.0039571,0.1765962,0.099037
20,0.0001513,0.07505,0.0688941,0.0000475,0.1765962,0.099037
21,0.0001009,0.02677,0.0413434,0.0000323,0.1608878,0.0864558
22,0.0000504,0.00486,0.0285302,0.0000171,0.1457402,0.0749355
23,0,0.00486,0.0285302,0.00000192,0.1457402,0.0749355
24,0,0.00406,0.0311284,0.0000016,0.1527028,0.0703671
25,0,0.00449,0,0.00000129,0.15979,0.0660058
26,0,0.00449,0.0482497,0.000000968,0.15979,0.0660058
27,0,0.01793,0.0384184,0.000000645,0.1400328,0.0641285
28,0,0.06584,0.0318714,0.000000323,0.1213212,0.0622938
29,0,0.06584,0.0318714,0,0.1213212,0.0622938
30,0.0010738,0.07587,0.0287841,0.0017244,0.1099904,0.059137
31,0.0021475,0.08653,0.0278742,0.0034488,0.0991298,0.0561181
32,0.0032213,0.08653,0.0278742,0.0051733,0.0991298,0.0561181
33,0.0165078,0.07759,0.0316814,0.0234628,0.1031568,0.0511554
34,0.0297944,0.0691,0.0421689,0.0417524,0.1072518,0.0466371
35,0.0430809,0.0691,0.0421689,0.0600419,0.1072518,0.0466371
36,0.0432523,0.08274,0.038814,0.0637797,0.105936,0.042903
37,0.0434237,0.09747,0.0358871,0.0675175,0.1046271,0.03956
38,0.0435951,0.09747,0.0358871,0.0712553,0.1046271,0.03956
39,0.0329018,0.15829,0.0408514,0.0546975,0.1895518,0.0408027
40,0.0222084,0.22977,0.0469254,0.0381397,0.2911679,0.0421044
41,0.0115151,0.22977,0.0469254,0.0215818,0.2911679,0.0421044
42,0.0076906,0.27399,0.0443526,0.0144313,0.3191837,0.0446674
43,0.0038662,0.32036,0.041955,0.0072808,0.347809,0.0474275
44,0.0000418,0.32036,0.041955,0.0001303,0.347809,0.0474275
45,0.0000287,0.28906,0.0639802,0.0000874,0.3614196,0.0448512
46,0.0000156,0.25866,0.0947748,0.0000446,0.3751322,0.0424455
47,0.00000258,0.25866,0.0947748,0.00000178,0.3751322,0.0424455
48,0.00000172,0.24151,0.1343412,0.00000118,0.3732454,0.0405185
49,0.000000861,0.22474,0.1806717,0.000000592,0.3713603,0.0387209
50,0,0.22474,0.1806717,0,0.3713603,0.0387209
51,0,0.3292,0.2233474,0,0.3554992,0.042792
52,0,0.44212,0.269083,0,0.3397814,0.0474649
53,0,0.44212,0.269083,0,0.3397814,0.0474649
54,0.001359,0.43486,0.2380887,0.0028937,0.255571,0.0462541
55,0.002718,0.4276,0.208365,0.0057873,0.1790673,0.0450792
56,0.004077,0.4276,0.208365,0.008681,0.1790673,0.0450792
57,0.0255233,0.3366,0.154694,0.0283708,0.1360879,0.0447432
58,0.0469695,0.25086,0.1083749,0.0480605,0.0979518,0.0444103
59,0.0684158,0.25086,0.1083749,0.0677503,0.0979518,0.0444103
60,0.0727478,0.16338,0.061927,0.0687348,0.0532315,0.0336046
61,0.0770798,0.09093,0.034211,0.0697194,0.0218254,0.0283312
62,0.0814119,0.09093,0.034211,0.0707039,0.0218254,0.0283312
63,0.062447,0.05951,0.0332165,0.0537254,0.0258484,0.0320764
64,0.0434821,0.03446,0.032304,0.0367469,0.0302512,0.0393975
65,0.0245172,0.03446,0.032304,0.0197684,0.0302512,0.0393975
66,0.0164011,0.01833,0.0284285,0.0132172,0.0503871,0.0355358
67,0.008285,0.00805,0,0.006666,0.0754806,0.0324333
68,0.0001689,0.00805,0.0416649,0.0001148,0.0754806,0.0324333
69,0.0001177,0.0041,0.0389165,0.0000784,0.0900797,0.0302245
70,0.0000665,0,0,0.0000421,0.1057969,0.0287298
71,0.0000154,0.01044,0.0364838,0.00000576,0.1057969,0.0287298
72,0.0000128,0.0042,0.0324496,0.00000481,0.1601652,0.0329035
73,0.0000103,0.00695,0.0749358,0.00000386,0.2227059,0.0403618
74,0.00000775,0.00695,0.0749358,0.0000029,0.2227059,0.0403618
75,0.00000516,0.01937,0.1018418,0.00000194,0.3165534,0.0410633
76,0.00000258,0.04075,0.1335994,0.000000968,0.4178744,0.0417829
77,0,0.04075,0.1335994,0,0.4178744,0.0417829
78,0.0017162,0.06512,0.1713783,0.0035796,0.4491564,0.0544402
79,0.0034325,0.09471,0.2130776,0.0071591,0.4806238,0.0707188
80,0.0051487,0.09471,0.2130776,0.0107387,0.4806238,0.0707188
81,0.0269861,0.11175,0.2583542,0.037826,0.4656285,0.0828984
82,0.0488234,0.12995,0.3061528,0.0649133,0.4506618,0.0963669
83,0.0706608,0.12995,0.3061528,0.0920006,0.4506618,0.0963669
84,0.0700934,0.1369,0.306408,0.0956405,0.4065469,0.1097247
85,0.0695261,0.14398,0.3066634,0.0992805,0.3631094,0.1240368
86,0.0689587,0.14398,0.3066634,0.1029205,0.3631094,0.1240368
87,0.0518631,0.15366,0.2414963,0.0787022,0.297597,0.1313241
88,0.0347675,0.16359,0.1816075,0.0544839,0.2356987,0.138817
89,0.0176719,0.16359,0.1816075,0.0302656,0.2356987,0.138817
90,0.0118159,0.14106,0.1381331,0.0202408,0.2229209,0.1356968
91,0.0059598,0.11987,0.1004343,0.0102161,0.2103799,0.132611
92,0.0001038,0.11987,0.1004343,0.0001914,0.2103799,0.132611
93,0.0000692,0.14519,0.1087119,0.0001286,0.2414349,0.1292753
94,0.0000346,0.17238,0.1173512,0.0000657,0.2737988,0.1259819
95,0,0.17238,0.1173512,0.00000288,0.2737988,0.1259819
96,0,0.22628,0.1461799,0.0000024,0.3215669,0.1257148
97,0,0.28476,0.1779411,0.00000193,0.3711074,0.125448
98,0,0.28476,0.1779411,0.00000145,0.3711074,0.125448
99,0,0.28023,0.1822703,0.000000968,0.3819683,0.1229651
100,0,0.27572,0.1866418,0.000000484,0.3928832,0.1205077
101,0,0.27572,0.1866418,0,0.3928832,0.1205077
102,0.0004449,0.28784,0.2061011,0.0042798,0.3812084,0.1121221
103,0.0008898,0.3001,0.2262697,0.0085596,0.3695958,0.104062
104,0.0013348,0.3001,0.2262697,0.0128393,0.3695958,0.104062
105,0.0096276,0.33433,0.2569268,0.039142,0.3961071,0.1030463
106,0.0179204,0.36937,0.2887303,0.0654447,0.4228996,0.1020361
107,0.0262132,0.36937,0.2887303,0.0917473,0.4228996,0.1020361
108,0.0297313,0.39164,0.309401,0.0932981,0.4190578,0.0945512
109,0.0332493,0.41412,0.3303872,0.0948489,0.4152204,0.0874039
110,0.0367673,0.41412,0.3303872,0.0963997,0.4152204,0.0874039
111,0.0286032,0.34918,0.2881702,0.0733582,0.3859064,0.0849938
112,0.020439,0.28671,0.2474891,0.0503166,0.3569646,0.0826264
113,0.0122749,0.28671,0.2474891,0.0272751,0.3569646,0.0826264
114,0.008222,0.26041,0.2404166,0.0182423,0.3314144,0.0864714
115,0.0041691,0.23488,0.233411,0.0092094,0.3063096,0.0904274
116,0.0001162,0.23488,0.233411,0.0001766,0.3063096,0.0904274
117,0.0000778,0.23705,0.2320145,0.00012,0.2811117,0.0840192
118,0.0000394,0.23924,0.2306209,0.0000634,0.2565286,0.0779108
119,0.00000103,0.23924,0.2306209,0.00000686,0.2565286,0.0779108
120,0.000000689,0.22664,0.2054275,0.00000549,0.2322103,0.0611543
