hour,nl8,nl4,de10,de5,frbelux8,frbelux4,uk6,uk3
1,19813.6,9906.8,102581.3,51290.65,145712.72,72856.36,43271.58,21635.79
2,22736.48,11368.24,124834.4,62417.2,150635.52,75317.76,46924.02,23462.01
3,24794.16,12397.08,117687.2,58843.6,141179.2,70589.6,49619.7,24809.85
4,24020.96,12010.48,109771,54885.5,131383.92,65691.96,50521.68,25260.84
5,30070.8,15035.4,130842.9,65421.45,159070.24,79535.12,56475,28237.5
6,30487.28,15243.64,130118.2,65059.1,167920.56,83960.28,55993.62,27996.81
7,24432.4,12216.2,134928.6,67464.3,165344.32,82672.16,56229.54,28114.77
8,25920.4,12960.2,143867.3,71933.65,159322,79661,55325.16,27662.58
9,24796.24,12398.12,145957.1,72978.55,151123.36,75561.68,53367.24,26683.62
10,21527.28,10763.64,126506.1,63253.05,128915.76,64457.88,47593.68,23796.84
11,20149.6,10074.8,117532.5,58766.25,128562.16,64281.08,47805.78,23902.89
12,24533.68,12266.84,145781.3,72890.65,152152.8,76076.4,54587.4,27293.7
13,25006.32,12503.16,143484.8,71742.4,152166,76083,56059.74,28029.87
14,25300.8,12650.4,144963.16,72481.58,152552.56,76276.28,56951.52,28475.76
15,25176.4,12588.2,148558.4,74279.2,152718.8,76359.4,55376.76,27688.38
16,24486.32,12243.16,143207.23,71603.615,152722.64,76361.32,57001.92,28500.96
17,21374.24,10687.12,120430.96,60215.48,145003.44,72501.72,53450.1,26725.05
18,20229.6,10114.8,111103.28,55551.64,144440.88,72220.44,52519.62,26259.81
19,24864.32,12432.16,143311.04,71655.52,165897.04,82948.52,60358.92,30179.46
20,25152.72,12576.36,147474.66,73737.33,171028.32,85514.16,61506.18,30753.09
21,25037.68,12518.84,145909.48,72954.74,172360.24,86180.12,61787.94,30893.97
22,25385.6,12692.8,146069.49,73034.745,173180.24,86590.12,61324.38,30662.19
23,25463.04,12731.52,146049.92,73024.96,174837.84,87418.92,59246.52,29623.26
24,21562.96,10781.48,127768.08,63884.04,160584.72,80292.36,51779.04,25889.52
25,25057.92,12528.96,114889.62,57444.81,152705.68,76352.84,50726.64,25363.32
26,24772.4,12386.2,146032.09,73016.045,165879.92,82939.96,56217.84,28108.92
27,24479.44,12239.72,147545.94,73772.97,164825.76,82412.88,57830.64,28915.32
28,25477.28,12738.64,151188.26,75594.13,164610.88,82305.44,55927.98,27963.99
29,25061.52,12530.76,150797.5,75398.75,164266.96,82133.48,58615.74,29307.87
30,24987.04,12493.52,144650.78,72325.39,165492.16,82746.08,58018.56,29009.28
31,21698.56,10849.28,124080.64,62040.32,153429.52,76714.76,52040.04,26020.02
32,20151.52,10075.76,113564.46,56782.23,150338.4,75169.2,51030.54,25515.27
33,24876,12438,146687.73,73343.865,170040.16,85020.08,60921.36,30460.68
34,24478.8,12239.4,148533.19,74266.595,175955.36,87977.68,61055.4,30527.7
35,25227.92,12613.96,148722.69,74361.345,178201.84,89100.92,60285.48,30142.74
36,26293.44,13146.72,147746.3,73873.15,180529.68,90264.84,61031.16,30515.58
37,24763.76,12381.88,146015.9,73007.95,184708.16,92354.08,59293.68,29646.84
38,21923.44,10961.72,128011.7,64005.85,166691.76,83345.88,54410.76,27205.38
39,20127.6,10063.8,117559.03,58779.515,154551.04,77275.52,51035.88,25517.94
40,24129.92,12064.96,149596.85,74798.425,169726.8,84863.4,57366.42,28683.21
41,24386.96,12193.48,148101.6,74050.8,169723.6,84861.8,59711.64,29855.82
42,24959.68,12479.84,146898.42,73449.21,166009.36,83004.68,60084.78,30042.39
43,25313.6,12656.8,146282.28,73141.14,165338.16,82669.08,59609.64,29804.82
44,24047.04,12023.52,143098.19,71549.095,159337.36,79668.68,56800.8,28400.4
45,20351.68,10175.84,121503.55,60751.775,142317.84,71158.92,51507.54,25753.77
46,18752.16,9376.08,112259.3,56129.65,136522.24,68261.12,48968.76,24484.38
47,23230.72,11615.36,139697.83,69848.915,157991.6,78995.8,56271.96,28135.98
48,24521.2,12260.6,146093.64,73046.82,159328.96,79664.48,55291.02,27645.51
