hour,nl100,de100,frbelux100,nl92,de90,frbelux92,nl96,de95,frbelux96,uk100,uk94,uk97
1,9794,42558,82676,9010.48,38302.2,76061.92,9402.24,40430.1,79368.96,29059,27315.46,28187.23
2,9456,41620,80770,8699.52,37458,74308.4,9077.76,39539,77539.2,28663,26943.22,27803.11
3,8957,40611,79197,8240.44,36549.9,72861.24,8598.72,38580.45,76029.12,26626,25028.44,25827.22
4,8462,38809,75465,7785.04,34928.1,69427.8,8123.52,36868.55,72446.4,24778,23291.32,24034.66
5,8156,38411,72980,7503.52,34569.9,67141.6,7829.76,36490.45,70060.8,23212,21819.28,22515.64
6,8126,37426,72571,7475.92,33683.4,66765.32,7800.96,35554.7,69668.16,22751,21385.94,22068.47
7,8292,36115,72565,7628.64,32503.5,66759.8,7960.32,34309.25,69662.4,23292,21894.48,22593.24
8,8638,36229,72412,7946.96,32606.1,66619.04,8292.48,34417.55,69515.52,23712,22289.28,23000.64
9,8927,36529,72197,8212.84,32876.1,66421.24,8569.92,34702.55,69309.12,24529,23057.26,23793.13
10,9313,38909,72779,8567.96,35018.1,66956.68,8940.48,36963.55,69867.84,27103,25476.82,26289.91
11,9933,41173,73932,9138.36,37055.7,68017.44,9535.68,39114.35,70974.72,30054,28250.76,29152.38
12,10432,43186,74940,9597.44,38867.4,68944.8,10014.72,41026.7,71942.4,32383,30440.02,31411.51
13,11919,45225,76708,10965.48,40702.5,70571.36,11442.24,42963.75,73639.68,33930,31894.2,32912.1
14,11951,44375,74964,10994.92,39937.5,68966.88,11472.96,42156.25,71965.44,34249,32194.06,33221.53
15,12068,43602,71835,11102.56,39241.8,66088.2,11585.28,41421.9,68961.6,34244,32189.36,33216.68
16,11829,43547,69917,10882.68,39192.3,64323.64,11355.84,41369.65,67120.32,34916,32821.04,33868.52
17,12087,45734,70322,11120.04,41160.6,64696.24,11603.52,43447.3,67509.12,37424,35178.56,36301.28
18,12683,49478,75453,11668.36,44530.2,69416.76,12175.68,47004.1,72434.88,38506,36195.64,37350.82
19,12299,48977,80107,11315.08,44079.3,73698.44,11807.04,46528.15,76902.72,37202,34969.88,36085.94
20,11717,48013,81780,10779.64,43211.7,75237.6,11248.32,45612.35,78508.8,35424,33298.56,34361.28
21,11365,46133,80268,10455.8,41519.7,73846.56,10910.4,43826.35,77057.28,33504,31493.76,32498.88
22,10878,44470,77809,10007.76,40023,71584.28,10442.88,42246.5,74696.64,30940,29083.6,30011.8
23,10564,48237,79304,9718.88,43413.3,72959.68,10141.44,45825.15,76131.84,28706,26983.64,27844.82
24,9824,46446,80458,9038.08,41801.4,74021.36,9431.04,44123.7,77239.68,25986,24426.84,25206.42
25,8995,44427,77379,8275.4,39984.3,71188.68,8635.2,42205.65,74283.84,25285,23767.9,24526.45
26,8303,43542,74799,7638.76,39187.8,68815.08,7970.88,41364.9,71807.04,24619,23141.86,23880.43
27,7876,42916,73304,7245.92,38624.4,67439.68,7560.96,40770.2,70371.84,23635,22216.9,22925.95
28,7700,42744,70306,7084,38469.6,64681.52,7392,40606.8,67493.76,22659,21299.46,21979.23
29,7772,42666,69092,7150.24,38399.4,63564.64,7461.12,40532.7,66328.32,21989,20669.66,21329.33
30,8255,44044,70751,7594.6,39639.6,65090.92,7924.8,41841.8,67920.96,22617,21259.98,21938.49
31,9356,45986,73886,8607.52,41387.4,67975.12,8981.76,43686.7,70930.56,25345,23824.3,24584.65
32,10990,48692,76445,10110.8,43822.8,70329.4,10550.4,46257.4,73387.2,28573,26858.62,27715.81
33,12458,52277,78826,11461.36,47049.3,72519.92,11959.68,49663.15,75672.96,31410,29525.4,30467.7
34,13446,54975,80915,12370.32,49477.5,74441.8,12908.16,52226.25,77678.4,34047,32004.18,33025.59
35,14038,56962,82415,12914.96,51265.8,75821.8,13476.48,54113.9,79118.4,34946,32849.24,33897.62
