realtime,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
timestep,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
PV_Inv,260976.2513,260715.5,260455.1,260194.9,259935,259675.3,259415.9,259156.7,258897.8,258639.2,258380.8,258122.7,257864.8,257607.2,257349.8,257092.7,256835.9,256579.3,256323,256066.9,255811.1,255555.6,255300.3,255045.2,254790.4,254535.9,254281.6,254027.6,253773.8,253520.3,253267,253014,252761.3,252508.7,252256.5,252004.5,251752.7,251501.2,251250,250999,250748.2,250497.7,250247.5,249997.5,249747.7,249498.2,249249,249000,240125,231250,222375,213500,204625,195750,186875,178000,174800,171600,168400,165200,162000,158800,155600,152400,149200,146000,142800,139600,136400,133200,130000,129740,129480.5,129221.6,128963.1,128705.2,128447.8,128190.9,127934.5,127678.6,127423.3,127168.4,126914.1,126660.3,126406.9,126154.1,125901.8,125650,125398.7,125147.9,124897.6,124647.8,124398.5,124149.7,123901.4,123653.6,123406.3,123159.5,122913.2,122667.4,122422,122177.2,121932.8,121689,121445.6,121202.7,120960.3,120718.4,120476.9,120236,119995.5,119755.5,119516,119277,119038.4,118800.3
PV_OM,26202.43487,26176.26,26150.11,26123.98,26097.89,26071.81,26045.77,26019.75,25993.76,25967.79,25941.85,25915.93,25890.04,25864.18,25838.34,25812.52,25786.74,25760.98,25735.24,25709.53,25683.85,25658.19,25632.56,25606.95,25581.37,25555.81,25530.28,25504.78,25479.3,25453.85,25428.42,25403.01,25377.64,25352.28,25326.96,25301.66,25276.38,25251.13,25225.9,25200.7,25175.53,25150.38,25125.25,25100.15,25075.08,25050.03,25025,25000,24750,24500,24250,24000,23750,23500,23250,23000,22933.34,22866.68,22800.02,22733.36,22666.7,22600.04,22533.38,22466.72,22400.06,22333.4,22266.74,22200.08,22133.42,22066.76,22000,21956,21912.09,21868.26,21824.53,21780.88,21737.32,21693.84,21650.45,21607.15,21563.94,21520.81,21477.77,21434.81,21391.94,21349.16,21306.46,21263.85,21221.32,21178.88,21136.52,21094.25,21052.06,21009.96,20967.94,20926,20884.15,20842.38,20800.69,20759.09,20717.57,20676.14,20634.79,20593.52,20552.33,20511.23,20470.2,20429.26,20388.4,20347.63,20306.93,20266.32,20225.79,20185.33,20144.96,20104.67
PV_Eff,0.316,0.323,0.33,0.338,0.346,0.354,0.362,0.371,0.379,0.388,0.397,0.407,0.416,0.426,0.436,0.446,0.456,0.467,0.478,0.489,0.501,0.512,0.524,0.536,0.549,0.562,0.575,0.588,0.602,0.616,0.63,0.645,0.66,0.676,0.691,0.707,0.724,0.741,0.758,0.776,0.794,0.813,0.831,0.851,0.871,0.891,0.912,0.933,0.955,0.977,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wind_Inv,187609.4337,187422,187234.8,187047.7,186860.9,186674.2,186487.7,186301.4,186115.3,185929.4,185743.6,185558.1,185372.7,185187.5,185002.5,184817.7,184633,184448.6,184264.3,184080.3,183896.4,183712.6,183529.1,183345.8,183162.6,182979.6,182796.8,182614.2,182431.8,182249.5,182067.5,181885.6,181703.9,181522.4,181341,181159.9,180978.9,180798.1,180617.5,180437,180256.8,180076.7,179896.8,179717.1,179537.5,179358.2,179179,179000,177875,176750,175625,174500,173375,172250,171125,170000,169533.3,169066.7,168600,168133.3,167666.7,167200,166733.3,166266.7,165800,165333.3,164866.7,164400,163933.3,163466.7,163000,162674,162348.7,162024,161699.9,161376.5,161053.8,160731.6,160410.2,160089.4,159769.2,159449.6,159130.7,158812.5,158494.9,158177.9,157861.5,157545.8,157230.7,156916.2,156602.4,156289.2,155976.6,155664.7,155353.3,155042.6,154732.5,154423.1,154114.2,153806,153498.4,153191.4,152885,152579.2,152274.1,151969.5,151665.6,151362.3,151059.5,150757.4,150455.9,150155,149854.7,149555,149255.9,148957.4
Wind_OM,48212.48017,48164.32,48116.2,48068.13,48020.11,47972.14,47924.22,47876.34,47828.51,47780.73,47733,47685.31,47637.67,47590.08,47542.54,47495.05,47447.6,47400.2,47352.85,47305.54,47258.28,47211.07,47163.91,47116.79,47069.72,47022.7,46975.72,46928.79,46881.91,46835.08,46788.29,46741.55,46694.85,46648.2,46601.6,46555.05,46508.54,46462.08,46415.66,46369.29,46322.97,46276.69,46230.46,46184.28,46138.14,46092.05,46046,46000,45625,45250,44875,44500,44125,43750,43375,43000,42866.67,42733.34,42600.01,42466.68,42333.35,42200.02,42066.69,41933.36,41800.03,41666.7,41533.37,41400.04,41266.71,41133.38,41000,40918,40836.16,40754.49,40672.98,40591.64,40510.45,40429.43,40348.57,40267.88,40187.34,40106.97,40026.75,39946.7,39866.81,39787.07,39707.5,39628.08,39548.83,39469.73,39390.79,39312.01,39233.38,39154.92,39076.61,38998.45,38920.46,38842.62,38764.93,38687.4,38610.03,38532.81,38455.74,38378.83,38302.07,38225.47,38149.02,38072.72,37996.57,37920.58,37844.74,37769.05,37693.51,37618.12,37542.89,37467.8
Wind_Eff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WindOffshore_Inv,542914.4506,542372.1,541830.2,541289,540748.2,540208,539668.3,539129.2,538590.6,538052.6,537515,536978.1,536441.6,535905.7,535370.4,534835.5,534301.2,533767.4,533234.2,532701.5,532169.3,531637.7,531106.6,530576,530046,529516.5,528987.5,528459,527931.1,527403.7,526876.8,526350.5,525824.6,525299.3,524774.6,524250.3,523726.6,523203.4,522680.7,522158.5,521636.9,521115.8,520595.2,520075.1,519555.6,519036.5,518518,518000,503250,488500,473750,459000,444250,429500,414750,400000,393533.3,387066.7,380600,374133.3,367666.7,361200,354733.3,348266.7,341800,335333.3,328866.7,322400,315933.3,309466.7,303000,302394,301789.2,301185.6,300583.3,299982.1,299382.1,298783.4,298185.8,297589.4,296994.3,296400.3,295807.5,295215.8,294625.4,294036.2,293448.1,292861.2,292275.5,291690.9,291107.5,290525.3,289944.3,289364.4,288785.7,288208.1,287631.7,287056.4,286482.3,285909.3,285337.5,284766.8,284197.3,283628.9,283061.6,282495.5,281930.5,281366.7,280803.9,280242.3,279681.8,279122.5,278564.2,278007.1,277451.1,276896.2
WindOffshore_OM,189705.6285,189516.1,189326.8,189137.6,188948.7,188759.9,188571.4,188383,188194.8,188006.8,187819,187631.3,187443.9,187256.6,187069.6,186882.7,186696,186509.5,186323.2,186137,185951.1,185765.3,185579.7,185394.3,185209.1,185024.1,184839.3,184654.6,184470.1,184285.8,184101.7,183917.8,183734.1,183550.5,183367.2,183184,183001,182818.2,182635.5,182453.1,182270.8,182088.7,181906.8,181725.1,181543.5,181362.2,181181,181000,175875,170750,165625,160500,155375,150250,145125,140000,137733.3,135466.7,133200,130933.4,128666.7,126400,124133.4,121866.7,119600.1,117333.4,115066.7,112800.1,110533.4,108266.8,106000,105788,105576.4,105365.3,105154.5,104944.2,104734.3,104524.9,104315.8,104107.2,103899,103691.2,103483.8,103276.8,103070.3,102864.1,102658.4,102453.1,102248.2,102043.7,101839.6,101635.9,101432.7,101229.8,101027.3,100825.3,100623.6,100422.4,100221.5,100021.1,99821.04,99621.4,99422.16,99223.31,99024.87,98826.82,98629.16,98431.91,98235.04,98038.57,97842.49,97646.81,97451.52,97256.61,97062.1,96867.98
WindOffshore_Eff,0.734,0.739,0.744,0.748,0.753,0.757,0.762,0.767,0.772,0.776,0.781,0.786,0.791,0.796,0.801,0.806,0.811,0.816,0.821,0.826,0.831,0.836,0.841,0.846,0.852,0.857,0.862,0.868,0.873,0.878,0.884,0.889,0.895,0.9,0.906,0.912,0.917,0.923,0.929,0.934,0.94,0.946,0.952,0.958,0.964,0.97,0.976,0.982,0.988,0.994,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
