hour,nl_node_PV,nl_node_OffW,nl_node_OnW,de_node_PV,de_node_OffW,de_node_OnW,fr_node_PV,fr_node_OffW,fr_node_OnW,be_node_PV,be_node_OffW,be_node_OnW,uk_node_PV,uk_node_OffW,uk_node_OnW
1,0.000000861,0.729393,0.458749,0.00000113,0.379583,0.206351,0.000000779,0.55467,0.185341,0.00000143,0.643798,0.153048,0.000000406,0.343013,0.196755
2,0,0.729393,0.458749,0,0.379583,0.206351,0,0.55467,0.185341,0,0.643798,0.153048,0,0.343013,0.196755
3,0,0.685358,0.411723,0,0.355411,0.190828,0,0.574976,0.211577,0,0.674508,0.177225,0,0.303492,0.206581
4,0,0.639762,0.364903,0,0.33157,0.175786,0,0.595171,0.239057,0,0.704556,0.202852,0,0.265257,0.216584
5,0,0.639762,0.364903,0,0.33157,0.175786,0,0.595171,0.239057,0,0.704556,0.202852,0,0.265257,0.216584
6,0.0014102,0.605938,0.345685,0.0021729,0.292758,0.176777,0.0010028,0.591696,0.247251,0.0010989,0.699926,0.233237,0.0004035,0.261022,0.220082
7,0.0028204,0.571653,0.326643,0.0043459,0.25528,0.177771,0.0020055,0.588218,0.255532,0.0021977,0.695277,0.265008,0.000807,0.256806,0.2236
8,0.0042305,0.571653,0.326643,0.0065188,0.25528,0.177771,0.0030083,0.588218,0.255532,0.0032966,0.695277,0.265008,0.0012105,0.256806,0.2236
9,0.0243235,0.486888,0.279739,0.0190719,0.250719,0.168319,0.0164825,0.530145,0.244876,0.0229416,0.624768,0.255128,0.018939,0.24769,0.2175
10,0.0444164,0.402484,0.234869,0.031625,0.246184,0.159088,0.0299568,0.47171,0.234365,0.0425867,0.551784,0.245362,0.0366676,0.238675,0.21146
11,0.0645094,0.402484,0.234869,0.0441781,0.246184,0.159088,0.043431,0.47171,0.234365,0.0622318,0.551784,0.245362,0.0543962,0.238675,0.21146
12,0.0681115,0.303415,0.197675,0.0440469,0.245663,0.152006,0.0510491,0.411946,0.235043,0.0661016,0.437285,0.244008,0.0624964,0.226918,0.189632
13,0.0717137,0.212149,0.162998,0.0439158,0.245141,0.14507,0.0586673,0.353348,0.235721,0.0699714,0.325805,0.242657,0.0705966,0.215356,0.168757
14,0.0753158,0.212149,0.162998,0.0437846,0.245141,0.14507,0.0662854,0.353348,0.235721,0.0738412,0.325805,0.242657,0.0786968,0.215356,0.168757
15,0.0576842,0.195939,0.133923,0.0331152,0.228612,0.128726,0.0527721,0.289221,0.200952,0.0567153,0.296316,0.206842,0.0616883,0.216552,0.1597
16,0.0400526,0.180187,0.107653,0.0224457,0.212462,0.113359,0.0392588,0.228757,0.168333,0.0395894,0.267585,0.173196,0.0446797,0.217751,0.150864
17,0.0224209,0.180187,0.107653,0.0117763,0.212462,0.113359,0.0257455,0.228757,0.168333,0.0224635,0.267585,0.173196,0.0276712,0.217751,0.150864
18,0.0149977,0.122974,0.0869102,0.0078667,0.194237,0.106063,0.0176635,0.190375,0.137961,0.0150811,0.174849,0.13039,0.0187263,0.212779,0.157605
19,0.0075745,0.0750524,0.0688941,0.0039571,0.176596,0.099037,0.0095815,0.15457,0.110513,0.0076986,0.0975989,0.0936547,0.0097815,0.207845,0.164477
20,0.0001513,0.0750524,0.0688941,0.0000475,0.176596,0.099037,0.0014996,0.15457,0.110513,0.0003162,0.0975989,0.0936547,0.0008366,0.207845,0.164477
21,0.0001009,0.0267661,0.0413434,0.0000323,0.160888,0.0864558,0.0010013,0.114051,0.0937646,0.0002108,0.0946077,0.064111,0.0005594,0.184822,0.160264
22,0.0000504,0.0048596,0.0285302,0.0000171,0.14574,0.0749355,0.0005031,0.0788046,0.0786426,0.0001054,0.0916571,0.0426907,0.0002821,0.162787,0.1561
23,0,0.0048596,0.0285302,0.00000192,0.14574,0.0749355,0.00000487,0.0788046,0.0786426,0,0.0916571,0.0426907,0.00000483,0.162787,0.1561
24,0,0.0040641,0.0311284,0.0000016,0.152703,0.0703671,0.00000407,0.0683145,0.073981,0,0.113714,0.0440051,0.00000403,0.177389,0.149021
25,0,0.0044899,0,0.00000129,0.15979,0.0660058,0.00000326,0.0585185,0.0695174,0,0.137719,0.0453716,0.00000323,0.192445,0.142093
