,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
gasPrice-1,7.02,7.11,7.05,7.07,7.19,7.03,7.08,7.08,7.07,7.18,7.11,7.15,7.19,7.04,7.08,7.17,7.04,7.02,7.12,7.17,7.05,7.15,7.09,7.09,7.02,7.2,7.19,7.03,7.08,7.12,7.06,7.09,7.13,7.18,7.05,7.1,7.12,7.19,7.02,7.12,7.07,7,7.01,7.05,7.07,7.1,7.14,7.16,7.11,7.02,7.17,7.14,7.15,7.04,7.19,7.13,7.16,7.07,7.02,7.01,7.15,7.01,7.12,7.06,7.07,7.12
gasPrice-2,7.02,7.19,7.19,7.05,7.14,7.09,7.02,7.02,7.18,7.14,7.05,7.18,7.09,7.01,7.03,7.04,7.15,7.04,7.14,7.13,7.13,7.02,7.19,7.13,7.03,7.05,7.03,7.12,7.1,7.16,7.11,7.07,7.02,7.12,7.07,7.06,7.19,7.16,7.13,7.16,7.05,7.06,7.01,7.14,7.03,7.07,7.04,7.03,7.01,7.18,7.02,7.09,7.01,7.19,7.02,7.06,7.19,7.04,7.14,7.11,7.03,7.15,7.06,7.01,7.19,7.03
gasPrice-3,7.02,7.08,7.15,7.13,7.04,7.09,7.13,7.2,7.19,7.09,7.12,7.2,7.11,7.14,7.14,7.11,7.03,7.01,7.12,7.18,7.06,7.09,7.19,7.09,7.1,7.09,7.02,7.17,7.18,7.03,7.16,7.12,7.14,7.15,7.17,7.15,7.09,7.02,7.16,7.17,7.2,7.12,7.19,7.14,7.01,7.06,7.07,7.13,7.07,7.04,7.04,7.13,7.04,7.17,7.02,7.04,7,7.13,7.19,7.03,7.12,7.15,7.07,7.2,7.01,7.14
gasPrice-4,7.02,7.15,7.04,7.03,7.16,7.14,7.02,7,7.14,7.12,7.04,7.1,7.08,7.03,7.17,7.05,7.13,7.19,7.17,7.04,7.06,7.04,7.16,7.07,7.19,7.18,7.06,7.07,7.15,7.18,7.02,7.18,7.15,7.09,7.15,7.2,7.03,7.04,7.15,7.1,7.13,7.08,7.01,7.17,7.01,7.19,7.06,7,7.08,7.09,7.17,7.16,7.07,7.1,7.11,7.06,7.04,7.16,7.16,7.14,7.07,7.09,7.14,7.17,7.19,7.18
gasPrice-5,7.02,7.04,7.11,7.08,7.15,7.07,7.16,7.01,7.03,7.06,7.13,7.03,7.2,7.06,7.01,7.15,7.16,7.14,7.04,7.07,7.16,7.17,7.15,7.07,7.12,7.12,7.12,7.01,7.07,7.15,7.18,7.01,7.19,7.08,7.12,7.09,7.07,7.17,7.13,7.19,7.03,7.11,7.17,7.11,7.02,7.19,7.17,7.08,7.11,7.12,7.15,7,7.09,7.15,7.15,7.18,7.05,7,7.14,7.16,7.09,7.18,7.18,7.05,7.11,7.16
gasPrice-6,7.02,7.05,7.08,7.01,7.11,7.18,7.14,7.06,7.13,7.17,7.14,7.03,7.07,7.01,7.06,7.03,7.14,7.17,7.13,7.16,7.06,7.12,7.16,7.18,7.08,7.14,7.13,7.03,7.03,7.03,7.07,7.09,7.02,7.11,7.12,7.01,7.15,7.07,7.09,7.15,7.13,7.17,7.06,7.11,7.19,7.08,7.03,7.02,7.09,7.1,7.11,7.05,7.19,7.12,7.03,7.2,7.17,7.01,7.13,7.12,7.02,7.11,7.02,7.17,7.16,7.09
gasPrice-7,7.02,7,7.1,7.08,7.04,7.03,7.1,7.14,7.09,7.07,7.07,7.17,7.14,7.04,7.06,7.02,7.06,7,7.11,7.13,7.1,7.11,7.13,7.01,7.03,7.12,7.02,7.15,7.12,7.06,7.03,7.16,7.04,7.18,7.09,7.12,7.02,7.16,7.09,7.17,7.19,7.14,7.14,7.1,7.04,7.02,7.11,7.16,7.18,7.15,7.13,7.03,7.13,7.02,7.06,7.09,7.09,7.11,7.14,7.02,7.15,7.03,7.07,7.05,7.05,7.14
gasPrice-8,7.02,7.13,7.08,7.19,7.04,7.19,7.16,7,7.07,7.19,7.19,7.14,7.08,7.11,7.15,7.18,7.14,7.06,7.01,7.15,7.12,7.01,7.07,7.16,7.01,7.13,7.12,7.15,7.16,7.1,7.15,7.02,7.04,7.06,7.11,7.07,7.06,7.06,7.11,7.14,7.07,7.05,7.16,7.14,7.09,7.03,7.15,7.08,7.03,7.14,7,7.05,7.15,7.06,7.2,7.08,7.14,7.04,7.16,7.16,7.1,7.01,7.02,7.09,7.17,7.08
gasPrice-9,7.02,7.07,7.12,7.12,7.07,7.05,7.16,7.14,7.15,7.12,7.18,7.11,7.08,7.06,7.19,7.19,7.18,7.12,7.07,7.19,7.02,7.05,7.18,7.05,7.04,7.14,7.05,7.2,7.1,7,7.12,7.08,7.02,7.02,7.18,7.12,7.1,7.1,7.15,7.01,7.03,7.11,7.06,7.03,7.14,7.09,7.11,7.06,7.07,7.08,7.05,7.12,7.15,7.13,7.16,7.09,7.14,7.1,7.04,7.15,7.17,7.05,7.12,7.19,7.11,7.07
gasPrice-10,7.02,7.13,7.09,7.19,7.09,7.03,7.06,7,7.01,7.04,7.14,7.05,7.02,7.01,7.03,7.09,7.12,7.19,7.03,7.13,7.06,7.13,7.07,7.16,7.11,7.19,7.02,7.15,7.2,7.06,7.04,7.13,7,7.08,7.07,7.15,7.16,7.07,7,7.02,7.06,7.04,7.02,7.19,7.14,7.07,7.1,7.2,7.18,7.17,7.05,7.09,7.2,7.04,7.03,7.1,7.01,7.01,7,7.16,7.18,7.08,7.07,7.19,7.11,7.19
