,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
run-1,1.015,1.029,1.015,1.023,1.017,1.026,1.003,1.029,1.001,1.021,1.028,1.026,1.02,1.02,1.012,1.022,1.01,1.02,1.009,1.03,1.022,1.002,1.018,1.028,1.02,1.01,1.013,1.029,1.01,1.006,1.015,1.019,1.002,1.029,1.028,1.004,1.013,1.028,1.004,1.004,1.004,1.021,1.003,1.018,1.024,1.023,1.018,1.002,1.004,1.013,1.01,1.019,1.025,1.018,1.019,1.009,1.019,1.014,1.007,1.019,1.016,1.011,1.008,1.006,1.002,1.014
run-2,1.015,1.003,1.026,1.003,1.027,1,1.001,1.004,1.024,1.012,1.017,1.019,1.003,1.023,1.028,1.017,1.024,1.005,1.008,1.004,1.021,1.024,1.002,1.004,1.009,1.03,1.02,1.012,1.02,1.02,1.003,1.014,1.03,1.012,1.009,1.025,1.03,1.016,1.017,1.015,1.029,1.028,1.006,1.001,1.005,1.012,1.029,1.006,1.006,1.018,1.007,1.01,1.021,1.022,1.003,1.024,1.012,1.008,1.016,1.003,1.016,1.001,1.018,1.028,1,1.005
run-3,1.015,1.028,1.026,1.019,1.018,1.007,1.004,1.001,1.005,1.017,1.009,1.008,1.006,1.017,1.017,1.007,1.021,1.007,1.004,1.03,1.021,1.012,1.025,1.005,1.029,1.019,1.012,1.025,1.002,1.008,1.018,1.03,1.008,1.028,1.016,1.007,1.005,1.011,1.03,1.017,1.009,1.025,1.025,1.019,1.027,1.01,1.024,1.022,1.004,1.03,1.023,1.017,1.01,1.016,1.022,1.014,1.023,1.003,1.011,1.009,1.025,1.001,1.001,1.015,1.002,1.03
run-4,1.015,1.029,1.022,1.028,1.028,1.029,1.004,1.026,1.007,1.014,1.017,1.007,1.024,1.026,1.023,1.014,1.023,1.012,1.024,1.005,1.026,1.016,1.003,1.01,1.006,1.005,1.023,1,1.029,1.02,1.001,1.007,1.016,1.016,1.016,1.015,1.006,1.02,1.008,1.023,1.003,1.016,1.026,1.004,1.003,1.008,1.024,1.027,1.01,1.017,1.006,1.013,1.015,1.016,1.021,1.019,1.03,1.021,1.027,1.02,1.004,1.001,1.018,1.022,1.008,1.014
run-5,1.015,1.011,1.029,1.006,1.004,1,1.026,1.002,1.009,1.026,1.013,1.003,1.01,1.012,1.013,1.013,1.03,1.009,1.006,1.021,1.011,1.002,1.027,1.02,1.005,1.022,1.024,1.009,1.019,1.03,1.002,1.023,1.007,1.016,1.029,1.005,1.004,1.024,1.025,1.004,1.017,1.029,1.03,1.018,1.022,1.001,1.03,1.019,1.023,1.014,1.002,1.024,1.013,1.027,1.021,1.011,1.023,1.003,1.027,1.003,1.005,1.013,1.024,1.018,1.025,1.022
run-6,1.015,1.002,1.024,1.028,1.025,1.029,1.018,1,1.028,1.025,1.022,1.021,1.026,1.023,1.028,1.001,1.004,1.013,1.015,1.01,1.028,1.028,1.005,1.01,1.018,1.027,1.02,1.016,1.009,1.01,1.01,1.014,1.004,1.007,1.027,1.002,1.027,1.017,1.021,1,1.001,1.026,1.016,1.026,1.015,1.018,1.013,1.012,1.028,1.012,1.029,1.03,1.02,1.007,1.006,1.014,1.01,1.008,1.02,1.02,1.017,1.014,1.02,1.002,1.007,1.03
run-7,1.015,1.019,1.001,1.012,1.01,1.001,1.018,1.014,1.023,1.025,1.006,1.011,1.006,1.016,1.015,1.016,1.023,1.021,1.025,1.009,1.03,1.023,1.003,1.009,1.006,1.016,1.012,1.012,1.011,1.016,1.025,1.025,1.017,1.009,1.023,1.014,1.013,1.014,1.01,1.002,1.009,1.016,1.013,1.017,1.023,1.005,1.028,1.028,1.023,1.024,1.001,1.022,1.024,1.013,1.02,1.011,1.006,1.021,1.018,1.001,1.005,1.008,1.001,1.014,1.019,1.014
run-8,1.015,1.024,1.001,1.004,1.013,1.012,1.013,1.017,1.012,1.027,1.022,1.024,1.028,1.003,1.002,1.016,1.007,1.001,1.023,1,1.014,1.012,1.027,1.022,1.021,1.009,1.025,1.003,1.013,1.019,1.005,1.013,1.024,1.019,1.017,1.027,1.007,1.028,1.019,1.009,1.007,1.017,1.018,1.021,1.008,1.028,1.004,1.015,1.03,1.021,1.001,1.024,1.007,1.001,1.026,1.016,1.005,1.013,1.026,1.011,1.002,1.006,1.02,1.024,1.003,1.006
run-9,1.015,1.012,1.007,1.024,1.02,1.022,1.012,1.029,1.001,1.026,1.008,1.01,1.023,1.019,1.021,1.029,1.005,1.007,1.022,1.001,1.006,1.015,1.021,1.017,1.024,1.02,1.022,1.017,1.013,1.007,1.024,1.019,1.027,1.007,1.008,1.009,1.018,1.024,1.022,1.027,1.024,1.005,1.026,1.005,1.012,1.009,1.02,1.03,1.001,1.023,1.025,1.014,1.013,1.025,1.007,1.013,1.029,1.001,1.008,1.027,1.002,1.015,1.011,1.022,1.01,1.027
run-10,1.015,1.023,1.02,1.004,1.014,1.007,1.008,1.019,1.024,1.007,1.015,1.016,1.014,1.021,1.02,1.029,1.015,1.01,1.017,1.024,1.002,1.004,1.02,1.01,1.003,1.001,1.027,1.029,1.007,1.026,1.006,1.001,1.004,1.018,1.006,1.009,1.019,1.018,1.025,1.004,1.013,1.01,1.006,1.009,1.021,1.03,1.008,1.02,1.001,1.02,1.004,1.006,1.022,1.024,1.018,1.024,1.01,1.029,1.029,1.004,1.003,1.004,1.03,1.015,1.001,1.023
