,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
uraniumPrice-1,1.24,1.25,1.21,1.21,1.26,1.21,1.26,1.2,1.23,1.2,1.24,1.2,1.21,1.28,1.21,1.22,1.23,1.25,1.23,1.22,1.28,1.26,1.2,1.22,1.26,1.28,1.22,1.22,1.28,1.21,1.21,1.23,1.25,1.25,1.28,1.2,1.25,1.27,1.23,1.2,1.23,1.25,1.25,1.22,1.26,1.24,1.22,1.27,1.29,1.26,1.29,1.25,1.27,1.25,1.25,1.26,1.22,1.28,1.25,1.24,1.29,1.24,1.23,1.2,1.26,1.22
uraniumPrice-2,1.24,1.2,1.23,1.24,1.21,1.21,1.27,1.2,1.2,1.22,1.26,1.21,1.24,1.22,1.25,1.26,1.29,1.27,1.26,1.24,1.2,1.29,1.29,1.28,1.27,1.22,1.23,1.2,1.24,1.27,1.24,1.24,1.23,1.24,1.28,1.27,1.2,1.26,1.26,1.21,1.24,1.25,1.24,1.29,1.25,1.24,1.24,1.2,1.2,1.24,1.26,1.27,1.21,1.27,1.25,1.27,1.22,1.29,1.23,1.26,1.26,1.21,1.23,1.21,1.23,1.27
uraniumPrice-3,1.24,1.2,1.27,1.26,1.24,1.25,1.27,1.24,1.22,1.22,1.22,1.24,1.26,1.26,1.28,1.27,1.21,1.22,1.22,1.23,1.24,1.27,1.21,1.25,1.27,1.23,1.27,1.27,1.23,1.25,1.24,1.22,1.27,1.23,1.2,1.28,1.22,1.23,1.25,1.28,1.24,1.21,1.23,1.24,1.21,1.25,1.21,1.27,1.26,1.23,1.21,1.28,1.22,1.28,1.26,1.28,1.27,1.23,1.24,1.26,1.27,1.2,1.25,1.22,1.22,1.27
uraniumPrice-4,1.24,1.21,1.27,1.26,1.25,1.22,1.27,1.22,1.24,1.23,1.23,1.21,1.26,1.28,1.27,1.25,1.25,1.29,1.22,1.23,1.27,1.28,1.24,1.29,1.26,1.22,1.29,1.24,1.22,1.23,1.25,1.22,1.27,1.29,1.23,1.27,1.25,1.25,1.24,1.28,1.27,1.28,1.24,1.21,1.28,1.24,1.23,1.2,1.2,1.25,1.23,1.26,1.29,1.28,1.29,1.26,1.21,1.23,1.27,1.21,1.27,1.2,1.26,1.21,1.21,1.24
uraniumPrice-5,1.24,1.26,1.28,1.22,1.25,1.21,1.21,1.26,1.23,1.24,1.28,1.24,1.2,1.21,1.25,1.25,1.27,1.22,1.23,1.26,1.28,1.25,1.2,1.24,1.25,1.24,1.24,1.23,1.24,1.26,1.23,1.22,1.26,1.26,1.24,1.28,1.26,1.22,1.23,1.29,1.26,1.22,1.28,1.26,1.24,1.21,1.24,1.23,1.23,1.25,1.24,1.25,1.26,1.25,1.24,1.23,1.2,1.21,1.25,1.2,1.23,1.24,1.26,1.25,1.23,1.27
uraniumPrice-6,1.24,1.25,1.23,1.22,1.29,1.26,1.22,1.23,1.29,1.27,1.24,1.23,1.27,1.22,1.26,1.25,1.28,1.26,1.22,1.28,1.26,1.25,1.24,1.26,1.23,1.27,1.21,1.29,1.26,1.25,1.26,1.24,1.28,1.28,1.21,1.24,1.25,1.24,1.22,1.28,1.28,1.23,1.2,1.25,1.24,1.24,1.27,1.24,1.27,1.24,1.29,1.2,1.2,1.24,1.28,1.25,1.27,1.22,1.27,1.26,1.23,1.25,1.29,1.24,1.24,1.23
uraniumPrice-7,1.24,1.26,1.23,1.21,1.28,1.24,1.25,1.24,1.25,1.28,1.25,1.24,1.21,1.23,1.28,1.21,1.26,1.24,1.28,1.24,1.26,1.21,1.22,1.22,1.24,1.22,1.27,1.28,1.27,1.27,1.28,1.24,1.22,1.27,1.27,1.22,1.25,1.27,1.23,1.22,1.26,1.23,1.26,1.27,1.27,1.21,1.26,1.28,1.25,1.29,1.25,1.21,1.27,1.28,1.26,1.28,1.26,1.26,1.21,1.29,1.29,1.24,1.2,1.29,1.29,1.26
uraniumPrice-8,1.24,1.27,1.28,1.2,1.23,1.26,1.25,1.21,1.25,1.23,1.2,1.27,1.26,1.2,1.23,1.26,1.28,1.23,1.23,1.29,1.25,1.25,1.23,1.26,1.28,1.21,1.24,1.22,1.25,1.26,1.23,1.25,1.23,1.25,1.27,1.26,1.22,1.2,1.27,1.22,1.22,1.23,1.27,1.26,1.21,1.23,1.23,1.28,1.23,1.27,1.27,1.2,1.23,1.29,1.26,1.21,1.27,1.29,1.23,1.27,1.28,1.2,1.28,1.25,1.21,1.27
uraniumPrice-9,1.24,1.24,1.21,1.26,1.22,1.28,1.28,1.22,1.24,1.2,1.26,1.26,1.22,1.29,1.21,1.2,1.25,1.25,1.22,1.24,1.27,1.29,1.28,1.21,1.23,1.23,1.28,1.23,1.24,1.25,1.27,1.22,1.25,1.2,1.23,1.2,1.24,1.23,1.26,1.21,1.29,1.25,1.23,1.23,1.28,1.21,1.24,1.21,1.24,1.28,1.23,1.26,1.22,1.28,1.21,1.23,1.22,1.24,1.23,1.22,1.21,1.29,1.28,1.21,1.26,1.22
uraniumPrice-10,1.24,1.23,1.25,1.21,1.25,1.21,1.27,1.27,1.26,1.2,1.25,1.21,1.25,1.2,1.23,1.26,1.2,1.23,1.23,1.28,1.27,1.21,1.28,1.23,1.27,1.21,1.25,1.23,1.28,1.21,1.26,1.29,1.26,1.24,1.23,1.28,1.23,1.22,1.28,1.24,1.26,1.21,1.22,1.24,1.24,1.26,1.23,1.21,1.21,1.24,1.28,1.28,1.23,1.21,1.28,1.2,1.21,1.29,1.25,1.25,1.28,1.24,1.22,1.23,1.28,1.23
