hour,RESV,PHVT
1,0.35,0.27493
2,0.62,0.646042
3,0.65,0.845263
4,0.06,0.451069
5,0.27,0.924544
6,0.69,0.724091
7,0.88,0.20939
8,0.87,0.521443
9,0.66,0.271576
10,0.19,0.154353
11,0.81,0.20309
12,0.99,0.49936
13,0.6,0.765615
14,0.1,0.206161
15,0.33,0.21338
16,0.8,0.945575
17,0.14,0.625246
18,0.24,0.558237
19,0.89,0.421374
20,0.78,0.908881
21,0.25,0.568246
22,0.82,0.67068
23,0.2,0.290141
24,0.35,0.771805
25,0.68,0.724399
26,0.55,0.512524
27,0.8,0.838659
28,0.02,0.131109
29,0.64,0.412025
30,0.03,0.542692
31,0.35,0.278768
32,0.24,0.802219
33,0.43,0.088522
34,0.85,0.147197
35,0.49,0.361815
36,0.81,0.58237
37,0.12,0.317402
38,0.52,0.800508
39,0.31,0.64498
40,0.73,0.453796
41,0.24,0.735832
42,0.39,0.602818
43,0.7,0.065217
44,0.81,0.787887
45,0.29,0.965798
46,0.7,0.612788
47,0.28,0.255113
48,0.67,0.601344
49,0.59,0.24205
50,0.3,0.501647
51,0.05,0.20559
52,0.18,0.636275
53,0.87,0.165982
54,0.63,0.143975
55,0.18,0.867431
56,0.48,0.078153
57,0.31,0.11079
58,0.83,0.498019
59,0.27,0.351294
60,0.44,0.286579
61,0.34,0.747555
62,1,0.637886
63,0.88,0.970557
64,0.11,0.819447
65,0.55,0.59565
66,0.32,0.436701
67,0.04,0.776865
68,0.21,0.677019
69,0.6,0.201334
70,0.35,0.51603
71,0.17,0.334187
72,0.36,0.188793
73,0.27,0.549461
74,0.63,0.451034
75,0.59,0.334348
76,0.81,0.265125
77,0.68,0.436068
78,0.76,0.196074
79,0.63,0.241215
80,0.54,0.179695
81,0.68,0.696207
82,0.07,0.781793
83,0.43,0.46723
84,0.3,0.853183
85,0.64,0.558998
86,0.44,0.201916
87,0.36,0.51845
88,0.09,0.796879
89,0.92,0.083065
90,0.01,0.897322
91,0.94,0.605277
92,0.64,0.996404
93,0.26,0.432433
94,0.49,0.567758
95,0.41,0.872268
96,0.65,0.823357
97,0.45,0.205047
98,0.81,0.179223
99,0.08,0.10764
100,0.08,0.539405
101,0.13,0.283418
102,0.55,0.188138
103,0.56,0.565998
104,0.46,0.597498
105,0.05,0.475945
106,0.63,0.601434
107,0.34,0.089771
108,0.25,0.689662
109,0.46,0.025839
110,0.17,0.62764
111,0.78,0.018532
112,0.23,0.615057
113,0.63,0.008834
114,0.27,0.264247
115,0.21,0.152038
116,0.52,0.430505
117,0.31,0.445879
118,0.65,0.894538
119,0.02,0.440962
120,0.96,0.189173
121,0.17,0.895221
122,0.76,0.500249
123,0.49,0.919746
124,0.71,0.780364
125,0.19,0.317228
126,0.44,0.500175
127,0.5,0.387331
128,0.49,0.933117
129,0.48,0.743634
130,0.54,0.001081
131,0.74,0.616413
132,0.93,0.895435
133,0.86,0.9321
134,0.91,0.978851
135,0.91,0.744191
136,0.64,0.06964
137,0.58,0.445772
138,0.51,0.166635
139,0.11,0.211278
140,0.18,0.595382
141,0.1,0.447275
142,0.74,0.532567
143,0.2,0.01499
144,0.63,0.325211
145,0.31,0.05514
146,0.92,0.069556
147,0.69,0.826176
148,0.51,0.030609
149,0.98,0.881943
150,0.85,0.142985
151,0.99,0.326035
152,0.04,0.166714
153,0.19,0.357151
154,0.5,0.386508
155,0.04,0.403537
156,0.47,0.850016
157,0.57,0.786092
158,0.6,0.585577
159,0.22,0.962334
160,0.72,0.815451
161,0.53,0.055593
162,0.84,0.243499
163,0.43,0.514304
164,0.79,0.832176
165,0.36,0.315414
166,0.49,0.583562
167,0.55,0.722569
168,0.32,0.423771
169,0.85,0.283062
170,0.49,0.241175
171,0.77,0.496926
172,0.75,0.558272
173,0.18,0.835149
174,0.63,0.019985
175,0.33,0.918721
176,0.47,0.831517
177,0.62,0.386276
178,0.22,0.982587
179,0.97,0.549917
180,0.79,0.050449
181,0.67,0.98296
182,0.87,0.652288
183,0.98,0.048821
184,0.26,0.36793
185,0.24,0.925533
186,0.85,0.871212
187,0.01,0.979512
188,0.86,0.970292
189,0.92,0.454084
190,1,0.228017
191,0.74,0.828664
192,0.75,0.456368
193,0.19,0.54228
194,0.18,0.362693
195,0.53,0.485242
196,0.84,0.506485
197,0.68,0.81367
198,0.76,0.252162
199,0.84,0.704072
200,0.06,0.87545
201,0.39,0.989421
202,0.93,0.408599
203,0.2,0.052156
204,0.39,0.423115
205,0.25,0.195911
206,0.27,0.799113
207,0.83,0.935926
208,0.48,0.096984
209,0.69,0.468187
210,0.83,0.07111
211,0.49,0.408189
212,0.94,0.296402
213,0.36,0.217129
214,0.51,0.264457
215,0.2,0.086703
216,0.75,0.131316
217,0.96,0.498574
218,0.77,0.185192
219,0.98,0.041902
220,0.84,0.935073
221,0.3,0.105028
222,0.29,0.303635
223,0.57,0.583169
224,0.1,0.870462
225,0.4,0.604534
226,0.33,0.002826
227,0.79,0.542084
228,0.39,0.928545
229,0.49,0.252535
230,0.4,0.453733
231,0.79,0.200964
232,0.76,0.146074
233,0.26,0.85833
234,0.15,0.834164
235,0.53,0.879238
236,0.26,0.777237
237,0.61,0.286552
238,0.11,0.807328
239,0.31,0.255152
240,0.75,0.766792
241,0.18,0.238613
242,0.91,0.511515
243,0.22,0.766688
244,0.69,0.900479
245,0.12,0.170083
246,0.89,0.026238
247,0.6,0.524406
