hour,nl_node_1,nl_node_2,nl_node_3
1,222,0.51192,0.38976
2,222,0.51192,0.38976
3,222,0.45944,0.3498
4,222,0.4072,0.31003
5,222,0.4072,0.31003
6,222,0.38575,0.2937
7,222,0.3645,0.27752
8,222,0.3645,0.27752
9,222,0.31216,0.23767
10,222,0.26209,0.19955
11,222,0.26209,0.19955
12,222,0.22059,0.16795
13,222,0.18189,0.13848
14,222,0.18189,0.13848
15,222,0.14945,0.11378
16,222,0.12013,0.09146
17,222,0.12013,0.09146
18,222,0.09698,0.07384
19,222,0.07688,0.05853
20,222,0.07688,0.05853
21,222,0.04614,0.03513
22,222,0.03184,0.02424
23,222,0.03184,0.02424
24,222,0.03474,0.02645
25,222,0,0
26,222,0.05384,0.04099
27,222,0.04287,0.03264
28,222,0.03557,0.02708
29,222,0.03557,0.02708
30,222,0.03212,0.02446
31,222,0.0311,0.02368
32,222,0.0311,0.02368
33,222,0.03535,0.02692
34,222,0.04706,0.03583
35,222,0.04706,0.03583
36,222,0.04331,0.03298
37,222,0.04005,0.03049
38,222,0.04005,0.03049
39,222,0.04559,0.03471
40,222,0.05236,0.03987
41,222,0.05236,0.03987
42,222,0.04949,0.03768
43,222,0.04682,0.03565
44,222,0.04682,0.03565
45,222,0.0714,0.05436
46,222,0.10576,0.08052
47,222,0.10576,0.08052
48,222,0.14991,0.11414
49,222,0.20161,0.1535
50,222,0.20161,0.1535
51,222,0.24923,0.18976
52,222,0.30027,0.22862
53,222,0.30027,0.22862
54,222,0.26568,0.20228
55,222,0.23252,0.17703
56,222,0.23252,0.17703
57,222,0.17262,0.13143
58,222,0.12094,0.09208
59,222,0.12094,0.09208
60,222,0.0691,0.05261
61,222,0.03818,0.02907
62,222,0.03818,0.02907
63,222,0.03707,0.02822
64,222,0.03605,0.02745
65,222,0.03605,0.02745
66,222,0.03172,0.02415
67,222,0,0
68,222,0.04649,0.0354
69,222,0.04343,0.03306
70,222,0,0
71,222,0.04071,0.031
72,222,0.03621,0.02757
73,222,0.08362,0.06367
74,222,0.08362,0.06367
75,222,0.11365,0.08653
76,222,0.14908,0.11351
77,222,0.14908,0.11351
78,222,0.19124,0.1456
79,222,0.23777,0.18103
80,222,0.23777,0.18103
81,222,0.2883,0.2195
82,222,0.34164,0.26011
83,222,0.34164,0.26011
84,222,0.34192,0.26033
85,222,0.34221,0.26054
86,222,0.34221,0.26054
87,222,0.26949,0.20518
88,222,0.20266,0.1543
89,222,0.20266,0.1543
90,222,0.15414,0.11736
91,222,0.11208,0.08533
92,222,0.11208,0.08533
93,222,0.12131,0.09236
94,222,0.13095,0.0997
95,222,0.13095,0.0997
96,222,0.16312,0.1242
97,222,0.19857,0.15118
98,222,0.19857,0.15118
99,222,0.2034,0.15486
100,222,0.20827,0.15857
101,222,0.20827,0.15857
102,222,0.22999,0.17511
103,222,0.2525,0.19224
104,222,0.2525,0.19224
105,222,0.28671,0.21829
106,222,0.3222,0.24531
107,222,0.3222,0.24531
108,222,0.34526,0.26287
109,222,0.36868,0.2807
110,222,0.36868,0.2807
111,222,0.32157,0.24483
112,222,0.27617,0.21027
113,222,0.27617,0.21027
114,222,0.26828,0.20426
115,222,0.26046,0.19831
116,222,0.26046,0.19831
117,222,0.25891,0.19712
118,222,0.25735,0.19594
119,222,0.25735,0.19594
120,222,0.22924,0.17453
121,222,0.20236,0.15407
122,222,0.20236,0.15407
123,222,0.20455,0.15573
124,222,0.20675,0.15741
125,222,0.20675,0.15741
126,222,0.19759,0.15044
127,222,0.18861,0.1436
128,222,0.18861,0.1436
129,222,0.18016,0.13717
130,222,0.17187,0.13086
131,222,0.17187,0.13086
132,222,0.1581,0.12037
133,222,0.14487,0.1103
134,222,0.14487,0.1103
135,222,0.14176,0.10793
136,222,0.13867,0.10558
137,222,0.13867,0.10558
138,222,0.12116,0.09224
139,222,0.10493,0.07989
140,222,0.10493,0.07989
141,222,0.10836,0.0825
142,222,0.11186,0.08516
143,222,0.11186,0.08516
144,222,0.13219,0.10064
145,222,0.15431,0.11748
146,222,0.15431,0.11748
147,222,0.15215,0.11584
148,222,0.15001,0.11421
149,222,0.15001,0.11421
150,222,0.13143,0.10006
151,222,0.11413,0.08689
152,222,0.11413,0.08689
153,222,0.11463,0.08728
154,222,0.11514,0.08766
155,222,0.11514,0.08766
156,222,0.08679,0.06608
157,222,0.06365,0.04846
158,222,0.06365,0.04846
159,222,0.03718,0.0283
160,222,0.03196,0.02434
161,222,0.03196,0.02434
162,222,0.0361,0.02748
163,222,0.05886,0.04481
164,222,0.05886,0.04481
165,222,0.05621,0.0428
166,222,0.05369,0.04088
167,222,0.05369,0.04088
168,222,0.0432,0.03289
169,222,0.03585,0.02729
170,222,0.03585,0.02729
171,222,0.03914,0.0298
172,222,0.04324,0.03292
173,222,0.04324,0.03292
174,222,0.06318,0.0481
175,222,0.09146,0.06964
176,222,0.09146,0.06964
177,222,0.1444,0.10994
178,222,0.20955,0.15955
179,222,0.20955,0.15955
180,222,0.22651,0.17245
181,222,0.24395,0.18574
182,222,0.24395,0.18574
183,222,0.27781,0.21152
184,222,0.31302,0.23832
185,222,0.31302,0.23832
186,222,0.38728,0.29486
187,222,0.46397,0.35325
188,222,0.46397,0.35325
189,222,0.52216,0.39755
190,222,0.57968,0.44135
191,222,0.57968,0.44135
192,222,0.64343,0.48988
193,222,0.70386,0.53589
194,222,0.70386,0.53589
195,222,0.74575,0.56779
196,222,0.78458,0.59735
197,222,0.78458,0.59735
198,222,0.79713,0.60691
199,222,0.80924,0.61612
200,222,0.80924,0.61612
201,222,0.84091,0.64024
202,222,0.86831,0.6611
203,222,0.86831,0.6611
204,222,0.87502,0.66621
205,222,0.88136,0.67104
206,222,0.88136,0.67104
207,222,0.88178,0.67135
208,222,0.88219,0.67167
209,222,0.88219,0.67167
210,222,0.89405,0.6807
211,222,0.90417,0.6884
212,222,0.90417,0.6884
213,222,0.89799,0.6837
214,222,0.89111,0.67846
215,222,0.89111,0.67846
216,222,0.88432,0.67329
217,222,0.877,0.66771
218,222,0.877,0.66771
219,222,0.8293,0.6314
220,222,0.76923,0.58567
221,222,0.76923,0.58567
222,222,0.7427,0.56546
223,222,0.7148,0.54422
224,222,0.7148,0.54422
225,222,0.69111,0.52618
226,222,0.6667,0.5076
227,222,0.6667,0.5076
228,222,0.63457,0.48314
229,222,0.6016,0.45803
230,222,0.6016,0.45803
231,222,0.58387,0.44454
232,222,0.56598,0.43092
233,222,0.56598,0.43092
234,222,0.51527,0.39231
235,222,0.46413,0.35337
236,222,0.46413,0.35337
237,222,0.45863,0.34919
238,222,0.45314,0.345
239,222,0.45314,0.345
240,222,0.45346,0.34525
241,222,0.45379,0.3455
242,222,0.45379,0.3455
243,222,0.43552,0.33159
244,222,0.41732,0.31773
245,222,0.41732,0.31773
246,222,0.37707,0.28709
247,222,0.33758,0.25702
248,222,0.33758,0.25702
249,222,0.33194,0.25273
250,222,0.32633,0.24846
251,222,0.32633,0.24846
252,222,0.31605,0.24063
253,222,0.30585,0.23287
254,222,0.30585,0.23287
255,222,0.22945,0.1747
256,222,0.16161,0.12304
257,222,0.16161,0.12304
258,222,0.18454,0.1405
259,222,0.20877,0.15895
260,222,0.20877,0.15895
261,222,0.19482,0.14833
262,222,0.18128,0.13802
263,222,0.18128,0.13802
264,222,0.1446,0.11009
265,222,0.11207,0.08533
266,222,0.11207,0.08533
267,222,0.07899,0.06014
268,222,0.05382,0.04098
269,222,0.05382,0.04098
270,222,0.07116,0.05418
271,222,0.09277,0.07063
272,222,0.09277,0.07063
273,222,0.13215,0.10062
274,222,0.17896,0.13625
275,222,0.17896,0.13625
276,222,0.22801,0.1736
277,222,0.28139,0.21424
278,222,0.28139,0.21424
279,222,0.31119,0.23693
280,222,0.34179,0.26023
281,222,0.34179,0.26023
282,222,0.42974,0.32719
283,222,0.51943,0.39548
284,222,0.51943,0.39548
285,222,0.53182,0.40491
286,222,0.54417,0.41431
287,222,0.54417,0.41431
288,222,0.57392,0.43696
