hour,nl_node_1,nl_node_2,nl_node_3
1,333,0.51192,0.38976
2,333,0.51192,0.38976
3,333,0.45944,0.3498
4,333,0.4072,0.31003
5,333,0.4072,0.31003
6,333,0.38575,0.2937
7,333,0.3645,0.27752
8,333,0.3645,0.27752
9,333,0.31216,0.23767
10,333,0.26209,0.19955
11,333,0.26209,0.19955
12,333,0.22059,0.16795
13,333,0.18189,0.13848
14,333,0.18189,0.13848
15,333,0.14945,0.11378
16,333,0.12013,0.09146
17,333,0.12013,0.09146
18,333,0.09698,0.07384
19,333,0.07688,0.05853
20,333,0.07688,0.05853
21,333,0.04614,0.03513
22,333,0.03184,0.02424
23,333,0.03184,0.02424
24,333,0.03474,0.02645
25,333,0,0
26,333,0.05384,0.04099
27,333,0.04287,0.03264
28,333,0.03557,0.02708
29,333,0.03557,0.02708
30,333,0.03212,0.02446
31,333,0.0311,0.02368
32,333,0.0311,0.02368
33,333,0.03535,0.02692
34,333,0.04706,0.03583
35,333,0.04706,0.03583
36,333,0.04331,0.03298
37,333,0.04005,0.03049
38,333,0.04005,0.03049
39,333,0.04559,0.03471
40,333,0.05236,0.03987
41,333,0.05236,0.03987
42,333,0.04949,0.03768
43,333,0.04682,0.03565
44,333,0.04682,0.03565
45,333,0.0714,0.05436
46,333,0.10576,0.08052
47,333,0.10576,0.08052
48,333,0.14991,0.11414
49,333,0.20161,0.1535
50,333,0.20161,0.1535
51,333,0.24923,0.18976
52,333,0.30027,0.22862
53,333,0.30027,0.22862
54,333,0.26568,0.20228
55,333,0.23252,0.17703
56,333,0.23252,0.17703
57,333,0.17262,0.13143
58,333,0.12094,0.09208
59,333,0.12094,0.09208
60,333,0.0691,0.05261
61,333,0.03818,0.02907
62,333,0.03818,0.02907
63,333,0.03707,0.02822
64,333,0.03605,0.02745
65,333,0.03605,0.02745
66,333,0.03172,0.02415
67,333,0,0
68,333,0.04649,0.0354
69,333,0.04343,0.03306
70,333,0,0
71,333,0.04071,0.031
72,333,0.03621,0.02757
73,333,0.08362,0.06367
74,333,0.08362,0.06367
75,333,0.11365,0.08653
76,333,0.14908,0.11351
77,333,0.14908,0.11351
78,333,0.19124,0.1456
79,333,0.23777,0.18103
80,333,0.23777,0.18103
81,333,0.2883,0.2195
82,333,0.34164,0.26011
83,333,0.34164,0.26011
84,333,0.34192,0.26033
85,333,0.34221,0.26054
86,333,0.34221,0.26054
87,333,0.26949,0.20518
88,333,0.20266,0.1543
89,333,0.20266,0.1543
90,333,0.15414,0.11736
91,333,0.11208,0.08533
92,333,0.11208,0.08533
93,333,0.12131,0.09236
94,333,0.13095,0.0997
95,333,0.13095,0.0997
96,333,0.16312,0.1242
97,333,0.19857,0.15118
98,333,0.19857,0.15118
99,333,0.2034,0.15486
100,333,0.20827,0.15857
101,333,0.20827,0.15857
102,333,0.22999,0.17511
103,333,0.2525,0.19224
104,333,0.2525,0.19224
105,333,0.28671,0.21829
106,333,0.3222,0.24531
107,333,0.3222,0.24531
108,333,0.34526,0.26287
109,333,0.36868,0.2807
110,333,0.36868,0.2807
111,333,0.32157,0.24483
112,333,0.27617,0.21027
113,333,0.27617,0.21027
114,333,0.26828,0.20426
115,333,0.26046,0.19831
116,333,0.26046,0.19831
117,333,0.25891,0.19712
118,333,0.25735,0.19594
119,333,0.25735,0.19594
120,333,0.22924,0.17453
121,333,0.20236,0.15407
122,333,0.20236,0.15407
123,333,0.20455,0.15573
124,333,0.20675,0.15741
125,333,0.20675,0.15741
126,333,0.19759,0.15044
127,333,0.18861,0.1436
128,333,0.18861,0.1436
129,333,0.18016,0.13717
130,333,0.17187,0.13086
131,333,0.17187,0.13086
132,333,0.1581,0.12037
133,333,0.14487,0.1103
134,333,0.14487,0.1103
135,333,0.14176,0.10793
136,333,0.13867,0.10558
137,333,0.13867,0.10558
138,333,0.12116,0.09224
139,333,0.10493,0.07989
140,333,0.10493,0.07989
141,333,0.10836,0.0825
142,333,0.11186,0.08516
143,333,0.11186,0.08516
144,333,0.13219,0.10064
145,333,0.15431,0.11748
146,333,0.15431,0.11748
147,333,0.15215,0.11584
148,333,0.15001,0.11421
149,333,0.15001,0.11421
150,333,0.13143,0.10006
151,333,0.11413,0.08689
152,333,0.11413,0.08689
153,333,0.11463,0.08728
154,333,0.11514,0.08766
155,333,0.11514,0.08766
156,333,0.08679,0.06608
157,333,0.06365,0.04846
158,333,0.06365,0.04846
159,333,0.03718,0.0283
160,333,0.03196,0.02434
161,333,0.03196,0.02434
162,333,0.0361,0.02748
163,333,0.05886,0.04481
164,333,0.05886,0.04481
165,333,0.05621,0.0428
166,333,0.05369,0.04088
167,333,0.05369,0.04088
168,333,0.0432,0.03289
169,333,0.03585,0.02729
170,333,0.03585,0.02729
171,333,0.03914,0.0298
172,333,0.04324,0.03292
173,333,0.04324,0.03292
174,333,0.06318,0.0481
175,333,0.09146,0.06964
176,333,0.09146,0.06964
177,333,0.1444,0.10994
178,333,0.20955,0.15955
179,333,0.20955,0.15955
180,333,0.22651,0.17245
181,333,0.24395,0.18574
182,333,0.24395,0.18574
183,333,0.27781,0.21152
184,333,0.31302,0.23832
185,333,0.31302,0.23832
186,333,0.38728,0.29486
187,333,0.46397,0.35325
188,333,0.46397,0.35325
189,333,0.52216,0.39755
190,333,0.57968,0.44135
191,333,0.57968,0.44135
192,333,0.64343,0.48988
193,333,0.70386,0.53589
194,333,0.70386,0.53589
195,333,0.74575,0.56779
196,333,0.78458,0.59735
197,333,0.78458,0.59735
198,333,0.79713,0.60691
199,333,0.80924,0.61612
200,333,0.80924,0.61612
201,333,0.84091,0.64024
202,333,0.86831,0.6611
203,333,0.86831,0.6611
204,333,0.87502,0.66621
205,333,0.88136,0.67104
206,333,0.88136,0.67104
207,333,0.88178,0.67135
208,333,0.88219,0.67167
209,333,0.88219,0.67167
210,333,0.89405,0.6807
211,333,0.90417,0.6884
212,333,0.90417,0.6884
213,333,0.89799,0.6837
214,333,0.89111,0.67846
215,333,0.89111,0.67846
216,333,0.88432,0.67329
217,333,0.877,0.66771
218,333,0.877,0.66771
219,333,0.8293,0.6314
220,333,0.76923,0.58567
221,333,0.76923,0.58567
222,333,0.7427,0.56546
223,333,0.7148,0.54422
224,333,0.7148,0.54422
225,333,0.69111,0.52618
226,333,0.6667,0.5076
227,333,0.6667,0.5076
228,333,0.63457,0.48314
229,333,0.6016,0.45803
230,333,0.6016,0.45803
231,333,0.58387,0.44454
232,333,0.56598,0.43092
233,333,0.56598,0.43092
234,333,0.51527,0.39231
235,333,0.46413,0.35337
236,333,0.46413,0.35337
237,333,0.45863,0.34919
238,333,0.45314,0.345
239,333,0.45314,0.345
240,333,0.45346,0.34525
241,333,0.45379,0.3455
242,333,0.45379,0.3455
243,333,0.43552,0.33159
244,333,0.41732,0.31773
245,333,0.41732,0.31773
246,333,0.37707,0.28709
247,333,0.33758,0.25702
248,333,0.33758,0.25702
249,333,0.33194,0.25273
250,333,0.32633,0.24846
251,333,0.32633,0.24846
252,333,0.31605,0.24063
253,333,0.30585,0.23287
254,333,0.30585,0.23287
255,333,0.22945,0.1747
256,333,0.16161,0.12304
257,333,0.16161,0.12304
258,333,0.18454,0.1405
259,333,0.20877,0.15895
260,333,0.20877,0.15895
261,333,0.19482,0.14833
262,333,0.18128,0.13802
263,333,0.18128,0.13802
264,333,0.1446,0.11009
265,333,0.11207,0.08533
266,333,0.11207,0.08533
267,333,0.07899,0.06014
268,333,0.05382,0.04098
269,333,0.05382,0.04098
270,333,0.07116,0.05418
271,333,0.09277,0.07063
272,333,0.09277,0.07063
273,333,0.13215,0.10062
274,333,0.17896,0.13625
275,333,0.17896,0.13625
276,333,0.22801,0.1736
277,333,0.28139,0.21424
278,333,0.28139,0.21424
279,333,0.31119,0.23693
280,333,0.34179,0.26023
281,333,0.34179,0.26023
282,333,0.42974,0.32719
283,333,0.51943,0.39548
284,333,0.51943,0.39548
285,333,0.53182,0.40491
286,333,0.54417,0.41431
287,333,0.54417,0.41431
288,333,0.57392,0.43696
289,333,0.60328,0.45931
290,333,0.60328,0.45931
291,333,0.6051,0.4607
292,333,0.60692,0.46209
293,333,0.60692,0.46209
294,333,0.63773,0.48554
295,333,0.66778,0.50842
296,333,0.66778,0.50842
297,333,0.6581,0.50106
298,333,0.64834,0.49362
299,333,0.64834,0.49362
300,333,0.61188,0.46586
301,333,0.57452,0.43742
302,333,0.57452,0.43742
303,333,0.5492,0.41814
304,333,0.52367,0.39871
305,333,0.52367,0.39871
306,333,0.52312,0.39829
307,333,0.52257,0.39787
308,333,0.52257,0.39787
309,333,0.48261,0.36745
310,333,0.44263,0.337
311,333,0.44263,0.337
312,333,0.38726,0.29485
313,333,0.33317,0.25367
314,333,0.33317,0.25367
315,333,0.2673,0.20351
316,333,0.20636,0.15711
317,333,0.20636,0.15711
318,333,0.18746,0.14272
319,333,0.16934,0.12893
320,333,0.16934,0.12893
321,333,0.16365,0.1246
322,333,0.15806,0.12034
323,333,0.15806,0.12034
324,333,0.14741,0.11223
325,333,0.13713,0.1044
326,333,0.13713,0.1044
327,333,0.13272,0.10105
328,333,0.1284,0.09776
329,333,0.1284,0.09776
330,333,0.15764,0.12002
331,333,0.18972,0.14444
332,333,0.18972,0.14444
333,333,0.18009,0.13711
334,333,0.17068,0.12995
335,333,0.17068,0.12995
336,333,0.16022,0.12198
337,333,0.15006,0.11425
338,333,0.15006,0.11425
339,333,0.12074,0.09193
340,333,0.09491,0.07226
341,333,0.09491,0.07226
342,333,0.10201,0.07767
343,333,0.10943,0.08332
344,333,0.10943,0.08332
345,333,0.10902,0.083
346,333,0.10861,0.08269
347,333,0.10861,0.08269
348,333,0.08515,0.06483
349,333,0.06547,0.04984
350,333,0.06547,0.04984
351,333,0.06564,0.04998
352,333,0.06582,0.05011
353,333,0.06582,0.05011
354,333,0.08855,0.06742
355,333,0.11608,0.08838
356,333,0.11608,0.08838
357,333,0.12447,0.09477
358,333,0.13318,0.1014
359,333,0.13318,0.1014
360,333,0.14823,0.11286
361,333,0.16407,0.12492
362,333,0.16407,0.12492
363,333,0.20968,0.15964
364,333,0.25965,0.19769
365,333,0.25965,0.19769
366,333,0.35528,0.2705
367,333,0.45677,0.34777
368,333,0.45677,0.34777
369,333,0.48649,0.37039
370,333,0.51617,0.39299
371,333,0.51617,0.39299
372,333,0.52528,0.39993
373,333,0.53438,0.40686
374,333,0.53438,0.40686
375,333,0.5674,0.432
376,333,0.59997,0.4568
377,333,0.59997,0.4568
378,333,0.56959,0.43366
379,333,0.5388,0.41023
380,333,0.5388,0.41023
381,333,0.51612,0.39295
382,333,0.49334,0.37561
383,333,0.49334,0.37561
384,333,0.41399,0.31519
385,333,0.33645,0.25616
386,333,0.33645,0.25616
387,333,0.20801,0.15837
388,333,0.10609,0.08077
389,333,0.10609,0.08077
390,333,0.07297,0.05555
391,333,0.04873,0.0371
392,333,0.04873,0.0371
393,333,0.05624,0.04282
394,333,0.06497,0.04947
395,333,0.06497,0.04947
396,333,0.12703,0.09672
397,333,0.21284,0.16205
398,333,0.21284,0.16205
399,333,0.24111,0.18358
400,333,0.27063,0.20605
401,333,0.27063,0.20605
402,333,0.28408,0.21628
403,333,0.29772,0.22667
404,333,0.29772,0.22667
405,333,0.29275,0.22289
406,333,0.28781,0.21913
407,333,0.28781,0.21913
408,333,0.27501,0.20939
409,333,0.26241,0.19979
410,333,0.26241,0.19979
411,333,0.23498,0.17891
