hour,RESV
1,0.052574
2,0.033944
3,0.104707
4,0.996691
5,0.909292
6,0.384874
7,0.122273
8,0.758988
9,0.671648
10,0.045664
11,0.275812
12,0.534566
13,0.60487
14,0.78065
15,0.916535
16,0.500461
17,0.499071
18,0.376546
19,0.013732
20,0.04636
21,0.951105
22,0.65611
23,0.718444
24,0.18996
25,0.410267
26,0.834359
27,0.582246
28,0.490852
29,0.530142
30,0.039943
31,0.445953
32,0.396198
33,0.977479
34,0.384433
35,0.302931
36,0.524474
37,0.194913
38,0.912653
39,0.32332
40,0.518087
41,0.009631
42,0.839967
43,0.992421
44,0.200748
45,0.132664
46,0.930235
47,0.345103
48,0.442833
49,0.36935
50,0.792321
51,0.23285
52,0.53503
53,0.141203
54,0.396293
55,0.865362
56,0.544585
57,0.504863
58,0.98037
59,0.939066
60,0.228003
61,0.69362
62,0.523429
63,0.457448
64,0.544795
65,0.801554
66,0.472592
67,0.979995
68,0.72457
69,0.081944
70,0.078079
71,0.456646
72,0.45771
73,0.499241
74,0.08668
75,0.247489
76,0.257269
77,0.503057
78,0.264388
79,0.481511
80,0.479364
81,0.204701
82,0.279432
83,0.858465
84,0.936552
85,0.492487
86,0.390546
87,0.260619
88,0.896196
89,0.45879
90,0.873295
91,0.430083
92,0.89082
93,0.84359
94,0.830874
95,0.275036
96,0.610272
97,0.564332
98,0.075039
99,0.722876
100,0.348278
101,0.151888
102,0.157748
103,0.689688
104,0.844713
105,0.178259
106,0.801653
107,0.517554
108,0.436043
109,0.249831
110,0.597733
111,0.913297
112,0.622008
113,0.27063
114,0.160592
115,0.741303
116,0.72611
117,0.666651
118,0.729234
119,0.404194
120,0.754166
121,0.866333
122,0.986214
123,0.365861
124,0.438621
125,0.412356
126,0.073294
127,0.366801
128,0.113078
129,0.028768
130,0.448938
131,0.169055
132,0.197096
133,0.428361
134,0.366455
135,0.150308
136,0.605952
137,0.247453
138,0.478902
139,0.093051
140,0.381181
141,0.441591
142,0.963389
143,0.439721
144,0.5255
145,0.860175
146,0.608325
147,0.433594
148,0.116138
149,0.100596
150,0.244403
151,0.335304
152,0.662476
153,0.617155
154,0.574724
155,0.374787
156,0.29389
157,0.845477
158,0.706273
159,0.245513
160,0.264971
161,0.4981
162,0.059331
163,0.357303
164,0.450362
165,0.923851
166,0.107791
167,0.085674
168,0.37517
169,0.825973
170,0.488013
171,0.239247
172,0.137541
173,0.968957
174,0.688506
175,0.409295
176,0.370607
177,0.181614
178,0.041447
179,0.453807
180,0.346926
181,0.609683
182,0.836344
183,0.351028
184,0.209479
185,0.971024
186,0.88336
187,0.771208
188,0.535221
189,0.843057
190,0.542546
191,0.715538
192,0.927083
193,0.480874
194,0.524959
195,0.312774
196,0.847701
197,0.398865
198,0.637501
199,0.137877
200,0.659087
201,0.830164
202,0.579295
203,0.006479
204,0.414436
205,0.778468
206,0.474671
207,0.086973
208,0.406713
209,0.261775
210,0.380795
211,0.843944
212,0.503306
213,0.965195
214,0.196116
215,0.760953
216,0.046691
217,0.828446
218,0.644722
219,0.603123
220,0.322768
221,0.64401
222,0.857676
223,0.535779
224,0.114519
225,0.435927
226,0.210879
227,0.497162
228,0.162636
229,0.121359
230,0.623881
231,0.977342
232,0.090363
233,0.798344
234,0.299536
235,0.125936
236,0.816297
237,0.731435
238,0.133602
239,0.893084
240,0.443972
241,0.013729
242,0.727279
243,0.797924
244,0.646121
245,0.112561
246,0.311555
247,0.572536
248,0.599177
249,0.853886
250,0.767492
251,0.051355
252,0.618105
253,0.612575
254,0.236905
255,0.104095
256,0.500067
